Division Name,School Name,Disadvantaged,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,N,210,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Y,198,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,N,424,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Y,263,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,N,283,Arcadia Middle Accomack County Public Schools
Accomack County,Arcadia Middle,Y,264,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,N,168,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague Elementary,Y,58,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,N,187,Chincoteague High Accomack County Public Schools
Accomack County,Chincoteague High,Y,79,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,N,246,Kegotank Elementary Accomack County Public Schools
Accomack County,Kegotank Elementary,Y,229,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,N,373,Metompkin Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Y,185,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,N,391,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Y,261,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,N,180,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Y,275,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,N,227,Pungoteague Elementary Accomack County Public Schools
Accomack County,Pungoteague Elementary,Y,209,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,N,30,Tangier Combined Accomack County Public Schools
Accomack County,Tangier Combined,Y,12,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,N,229,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Y,227,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,N,"1,393",Albemarle High Albemarle County Public Schools
