Division Name,School Name,English Learners,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,N,284,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Y,102,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,N,570,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Y,92,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,N,350,Arcadia Middle Accomack County Public Schools
Accomack County,Arcadia Middle,Y,80,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,N,224,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,N,266,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,N,367,Kegotank Elementary Accomack County Public Schools
Accomack County,Kegotank Elementary,Y,99,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,N,324,Metompkin Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Y,208,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,N,581,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Y,40,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,N,343,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Y,37,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,N,369,Pungoteague Elementary Accomack County Public Schools
Accomack County,Pungoteague Elementary,Y,56,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,N,42,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,N,340,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Y,108,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,N,"1,703",Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Y,172,Albemarle High Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,N,587,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,Y,80,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,N,254,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,Y,,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,N,745,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,Y,,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Community Lab School,N,190,Community Lab School Albemarle County Public Schools
