Division Name,School Name,Foster Care,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,N,407,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Y,1,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,N,686,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Y,1,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,N,547,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,N,226,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,N,266,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,N,475,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,N,557,Metompkin Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Y,1,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,N,650,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Y,2,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,N,454,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Y,1,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,N,436,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,N,42,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,N,456,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,N,"1,914",Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Y,3,Albemarle High Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,N,681,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,Y,1,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,N,259,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,N,756,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Community Lab School,N,193,Community Lab School Albemarle County Public Schools
Albemarle County,Community Lab School,Y,1,Community Lab School Albemarle County Public Schools
Albemarle County,Crozet Elementary,N,325,Crozet Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,N,341,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,Y,1,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,N,693,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Y,1,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,N,599,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,Y,1,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,N,842,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,N,548,Lakeside Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,N,329,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Y,2,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,N,481,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,N,320,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,Y,1,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Monticello High,N,"1,219",Monticello High Albemarle County Public Schools
Albemarle County,Monticello High,Y,1,Monticello High Albemarle County Public Schools
Albemarle County,Mountain View Elementary,N,731,Mountain View Elementary Albemarle County Public Schools
Albemarle County,Red Hill Elementary,N,189,Red Hill Elementary Albemarle County Public Schools
Albemarle County,Scottsville Elementary,N,215,Scottsville Elementary Albemarle County Public Schools
Albemarle County,Scottsville Elementary,Y,1,Scottsville Elementary Albemarle County Public Schools
Albemarle County,Stone Robinson Elementary,N,467,Stone Robinson Elementary Albemarle County Public Schools
Albemarle County,Stone Robinson Elementary,Y,3,Stone Robinson Elementary Albemarle County Public Schools
Albemarle County,Stony Point Elementary,N,188,Stony Point Elementary Albemarle County Public Schools
Albemarle County,Virginia L. Murray Elementary,N,267,Virginia L. Murray Elementary Albemarle County Public Schools
Albemarle County,Virginia L. Murray Elementary,Y,1,Virginia L. Murray Elementary Albemarle County Public Schools
Albemarle County,Western Albemarle High,N,"1,156",Western Albemarle High Albemarle County Public Schools
Albemarle County,Western Albemarle High,Y,1,Western Albemarle High Albemarle County Public Schools
Albemarle County,Woodbrook Elementary,N,561,Woodbrook Elementary Albemarle County Public Schools
Albemarle County,Woodbrook Elementary,Y,1,Woodbrook Elementary Albemarle County Public Schools
Alexandria City,Alexandria City High,N,"4,397",Alexandria City High Alexandria City Public Schools
Alexandria City,Alexandria City High,Y,5,Alexandria City High Alexandria City Public Schools
Alexandria City,Charles Barrett Elementary,N,550,Charles Barrett Elementary Alexandria City Public Schools
Alexandria City,Cora Kelly School for Math Science and Technology,N,278,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Alexandria City,Douglas Macarthur Elementary,N,565,Douglas Macarthur Elementary Alexandria City Public Schools
Alexandria City,Douglas Macarthur Elementary,Y,2,Douglas Macarthur Elementary Alexandria City Public Schools
Alexandria City,Early Childhood Center,N,179,Early Childhood Center Alexandria City Public Schools
Alexandria City,Ferdinand T. Day Elementary,N,573,Ferdinand T. Day Elementary Alexandria City Public Schools
Alexandria City,Francis C. Hammond Middle,N,"1,424",Francis C. Hammond Middle Alexandria City Public Schools
Alexandria City,George Mason Elementary,N,347,George Mason Elementary Alexandria City Public Schools
Alexandria City,George Washington Middle,N,"1,445",George Washington Middle Alexandria City Public Schools
Alexandria City,George Washington Middle,Y,2,George Washington Middle Alexandria City Public Schools
Alexandria City,James K. Polk Elementary,N,757,James K. Polk Elementary Alexandria City Public Schools
Alexandria City,Jefferson-Houston PK-8 School,N,644,Jefferson-Houston PK-8 School Alexandria City Public Schools
Alexandria City,John Adams Elementary,N,691,John Adams Elementary Alexandria City Public Schools
Alexandria City,Lyles-Crouch Elementary,N,400,Lyles-Crouch Elementary Alexandria City Public Schools
Alexandria City,Mount Vernon Elementary,N,888,Mount Vernon Elementary Alexandria City Public Schools
Alexandria City,Naomi L. Brooks Elementary,N,340,Naomi L. Brooks Elementary Alexandria City Public Schools
Alexandria City,Patrick Henry K-8 School,N,896,Patrick Henry K-8 School Alexandria City Public Schools
Alexandria City,Samuel W. Tucker Elementary,N,731,Samuel W. Tucker Elementary Alexandria City Public Schools
Alexandria City,William Ramsay Elementary,N,598,William Ramsay Elementary Alexandria City Public Schools
Alleghany County,Alleghany High,N,579,Alleghany High Alleghany County Public Schools
Alleghany County,Alleghany High,Y,3,Alleghany High Alleghany County Public Schools
Alleghany County,Callaghan Elementary,N,257,Callaghan Elementary Alleghany County Public Schools
Alleghany County,Clifton Middle,N,410,Clifton Middle Alleghany County Public Schools
Alleghany County,Clifton Middle,Y,1,Clifton Middle Alleghany County Public Schools
Alleghany County,Mountain View Elementary,N,467,Mountain View Elementary Alleghany County Public Schools
Alleghany County,Mountain View Elementary,Y,3,Mountain View Elementary Alleghany County Public Schools
Alleghany County,Sharon Elementary,N,191,Sharon Elementary Alleghany County Public Schools
Amelia County,Amelia County Elementary,N,736,Amelia County Elementary Amelia County Public Schools
Amelia County,Amelia County Elementary,Y,5,Amelia County Elementary Amelia County Public Schools
Amelia County,Amelia County High,N,491,Amelia County High Amelia County Public Schools
Amelia County,Amelia County High,Y,2,Amelia County High Amelia County Public Schools
Amelia County,Amelia County Middle,N,399,Amelia County Middle Amelia County Public Schools
Amelia County,Amelia County Middle,Y,2,Amelia County Middle Amelia County Public Schools
Amherst County,Amelon Elementary,N,430,Amelon Elementary Amherst County Public Schools
Amherst County,Amelon Elementary,Y,4,Amelon Elementary Amherst County Public Schools
Amherst County,Amherst County High,N,"1,207",Amherst County High Amherst County Public Schools
Amherst County,Amherst County High,Y,10,Amherst County High Amherst County Public Schools
Amherst County,Amherst Elementary,N,231,Amherst Elementary Amherst County Public Schools
Amherst County,Amherst Elementary,Y,2,Amherst Elementary Amherst County Public Schools
Amherst County,Amherst Middle,N,377,Amherst Middle Amherst County Public Schools
Amherst County,Amherst Middle,Y,1,Amherst Middle Amherst County Public Schools
Amherst County,Central Elementary,N,329,Central Elementary Amherst County Public Schools
Amherst County,Central Elementary,Y,3,Central Elementary Amherst County Public Schools
Amherst County,Elon Elementary,N,339,Elon Elementary Amherst County Public Schools
Amherst County,Elon Elementary,Y,1,Elon Elementary Amherst County Public Schools
Amherst County,Madison Heights Elementary,N,378,Madison Heights Elementary Amherst County Public Schools
Amherst County,Madison Heights Elementary,Y,3,Madison Heights Elementary Amherst County Public Schools
Amherst County,Monelison Middle,N,557,Monelison Middle Amherst County Public Schools
Amherst County,Monelison Middle,Y,3,Monelison Middle Amherst County Public Schools
Amherst County,Temperance Elementary,N,95,Temperance Elementary Amherst County Public Schools
Appomattox County,Appomattox County High,N,690,Appomattox County High Appomattox County Public Schools
Appomattox County,Appomattox County High,Y,6,Appomattox County High Appomattox County Public Schools
Appomattox County,Appomattox Elementary,N,499,Appomattox Elementary Appomattox County Public Schools
Appomattox County,Appomattox Elementary,Y,2,Appomattox Elementary Appomattox County Public Schools
Appomattox County,Appomattox Middle,N,539,Appomattox Middle Appomattox County Public Schools
Appomattox County,Appomattox Middle,Y,4,Appomattox Middle Appomattox County Public Schools
Appomattox County,Appomattox Primary,N,595,Appomattox Primary Appomattox County Public Schools
Appomattox County,Appomattox Primary,Y,3,Appomattox Primary Appomattox County Public Schools
Arlington County,Abingdon Elementary,N,706,Abingdon Elementary Arlington County Public Schools
Arlington County,Alice West Fleet Elementary,N,584,Alice West Fleet Elementary Arlington County Public Schools
Arlington County,Arlington Community High,N,175,Arlington Community High Arlington County Public Schools
Arlington County,Arlington Community High,Y,2,Arlington Community High Arlington County Public Schools
Arlington County,Arlington Science Focus School,N,456,Arlington Science Focus School Arlington County Public Schools
Arlington County,Arlington Traditional,N,668,Arlington Traditional Arlington County Public Schools
Arlington County,Ashlawn Elementary,N,539,Ashlawn Elementary Arlington County Public Schools
Arlington County,Ashlawn Elementary,Y,1,Ashlawn Elementary Arlington County Public Schools
Arlington County,Barcroft Elementary,N,439,Barcroft Elementary Arlington County Public Schools
Arlington County,Barcroft Elementary,Y,1,Barcroft Elementary Arlington County Public Schools
Arlington County,Barrett Elementary,N,527,Barrett Elementary Arlington County Public Schools
Arlington County,Barrett Elementary,Y,1,Barrett Elementary Arlington County Public Schools
Arlington County,Campbell Elementary,N,426,Campbell Elementary Arlington County Public Schools
Arlington County,Cardinal Elementary,N,658,Cardinal Elementary Arlington County Public Schools
Arlington County,Carlin Springs Elementary,N,544,Carlin Springs Elementary Arlington County Public Schools
Arlington County,Claremont Immersion,N,678,Claremont Immersion Arlington County Public Schools
Arlington County,Discovery Elementary,N,513,Discovery Elementary Arlington County Public Schools
Arlington County,Dorothy Hamm Middle,N,925,Dorothy Hamm Middle Arlington County Public Schools
Arlington County,Dr. Charles R. Drew Elementary,N,453,Dr. Charles R. Drew Elementary Arlington County Public Schools
Arlington County,Escuela Key Elementary,N,625,Escuela Key Elementary Arlington County Public Schools
Arlington County,Glebe Elementary,N,539,Glebe Elementary Arlington County Public Schools
Arlington County,Gunston Middle,N,"1,184",Gunston Middle Arlington County Public Schools
Arlington County,Gunston Middle,Y,1,Gunston Middle Arlington County Public Schools
Arlington County,Hoffman-Boston Elementary,N,566,Hoffman-Boston Elementary Arlington County Public Schools
Arlington County,Innovation Elementary,N,404,Innovation Elementary Arlington County Public Schools
Arlington County,Integration Station,N,31,Integration Station Arlington County Public Schools
Arlington County,Jamestown Elementary,N,498,Jamestown Elementary Arlington County Public Schools
Arlington County,Jefferson Middle,N,925,Jefferson Middle Arlington County Public Schools
Arlington County,Kenmore Middle,N,"1,028",Kenmore Middle Arlington County Public Schools
Arlington County,Long Branch Elementary,N,404,Long Branch Elementary Arlington County Public Schools
Arlington County,Montessori Public School of Arlington,N,497,Montessori Public School of Arlington Arlington County Public Schools
Arlington County,Nottingham Elementary,N,406,Nottingham Elementary Arlington County Public Schools
Arlington County,Oakridge Elementary,N,620,Oakridge Elementary Arlington County Public Schools
Arlington County,Randolph Elementary,N,424,Randolph Elementary Arlington County Public Schools
Arlington County,Swanson Middle,N,962,Swanson Middle Arlington County Public Schools
Arlington County,Taylor Elementary,N,513,Taylor Elementary Arlington County Public Schools
Arlington County,Tuckahoe Elementary,N,431,Tuckahoe Elementary Arlington County Public Schools
Arlington County,Wakefield High,N,"2,760",Wakefield High Arlington County Public Schools
Arlington County,Wakefield High,Y,7,Wakefield High Arlington County Public Schools
Arlington County,Washington-Liberty High,N,"2,550",Washington-Liberty High Arlington County Public Schools
Arlington County,Washington-Liberty High,Y,1,Washington-Liberty High Arlington County Public Schools
Arlington County,Williamsburg Middle,N,840,Williamsburg Middle Arlington County Public Schools
Arlington County,Yorktown High,N,"2,530",Yorktown High Arlington County Public Schools
Arlington County,Yorktown High,Y,3,Yorktown High Arlington County Public Schools
Augusta County,Beverley Manor Middle,N,614,Beverley Manor Middle Augusta County Public Schools
Augusta County,Beverley Manor Middle,Y,2,Beverley Manor Middle Augusta County Public Schools
Augusta County,Buffalo Gap High,N,450,Buffalo Gap High Augusta County Public Schools
Augusta County,Buffalo Gap High,Y,2,Buffalo Gap High Augusta County Public Schools
Augusta County,Cassell Elementary,N,668,Cassell Elementary Augusta County Public Schools
Augusta County,Cassell Elementary,Y,3,Cassell Elementary Augusta County Public Schools
Augusta County,Churchville Elementary,N,397,Churchville Elementary Augusta County Public Schools
Augusta County,Churchville Elementary,Y,2,Churchville Elementary Augusta County Public Schools
Augusta County,Craigsville Elementary,N,134,Craigsville Elementary Augusta County Public Schools
Augusta County,Edward G. Clymore Elementary,N,725,Edward G. Clymore Elementary Augusta County Public Schools
Augusta County,Edward G. Clymore Elementary,Y,4,Edward G. Clymore Elementary Augusta County Public Schools
Augusta County,Fort Defiance High,N,724,Fort Defiance High Augusta County Public Schools
Augusta County,Fort Defiance High,Y,2,Fort Defiance High Augusta County Public Schools
Augusta County,Guy K. Stump Elementary,N,421,Guy K. Stump Elementary Augusta County Public Schools
Augusta County,Guy K. Stump Elementary,Y,8,Guy K. Stump Elementary Augusta County Public Schools
Augusta County,North River Elementary,N,238,North River Elementary Augusta County Public Schools
Augusta County,Riverheads Elementary,N,694,Riverheads Elementary Augusta County Public Schools
Augusta County,Riverheads Elementary,Y,5,Riverheads Elementary Augusta County Public Schools
Augusta County,Riverheads High,N,473,Riverheads High Augusta County Public Schools
Augusta County,Riverheads High,Y,4,Riverheads High Augusta County Public Schools
Augusta County,S. Gordon Stewart Middle,N,510,S. Gordon Stewart Middle Augusta County Public Schools
Augusta County,Stuarts Draft Elementary,N,556,Stuarts Draft Elementary Augusta County Public Schools
Augusta County,Stuarts Draft Elementary,Y,2,Stuarts Draft Elementary Augusta County Public Schools
Augusta County,Stuarts Draft High,N,711,Stuarts Draft High Augusta County Public Schools
Augusta County,Stuarts Draft Middle,N,463,Stuarts Draft Middle Augusta County Public Schools
Augusta County,Stuarts Draft Middle,Y,1,Stuarts Draft Middle Augusta County Public Schools
Augusta County,Wilson Elementary,N,650,Wilson Elementary Augusta County Public Schools
Augusta County,Wilson Elementary,Y,11,Wilson Elementary Augusta County Public Schools
Augusta County,Wilson Memorial High,N,816,Wilson Memorial High Augusta County Public Schools
Augusta County,Wilson Memorial High,Y,7,Wilson Memorial High Augusta County Public Schools
Augusta County,Wilson Middle,N,629,Wilson Middle Augusta County Public Schools
Augusta County,Wilson Middle,Y,5,Wilson Middle Augusta County Public Schools
Bath County,Bath County High,N,187,Bath County High Bath County Public Schools
Bath County,Bath County High,Y,1,Bath County High Bath County Public Schools
