Division Name,School Name,Gender,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,Female,202,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Male,206,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,Female,323,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Male,364,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,Female,285,Arcadia Middle Accomack County Public Schools
Accomack County,Arcadia Middle,Male,262,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,Female,104,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague Elementary,Male,122,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,Female,128,Chincoteague High Accomack County Public Schools
Accomack County,Chincoteague High,Male,138,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,Female,229,Kegotank Elementary Accomack County Public Schools
Accomack County,Kegotank Elementary,Male,246,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Female,276,Metompkin Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Male,282,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,Female,301,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Male,351,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,Female,216,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Male,239,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,Female,201,Pungoteague Elementary Accomack County Public Schools
Accomack County,Pungoteague Elementary,Male,235,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,Female,19,Tangier Combined Accomack County Public Schools
Accomack County,Tangier Combined,Male,23,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,Female,211,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Male,244,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Other,1,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,Female,932,Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Male,983,Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Other,2,Albemarle High Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,Female,350,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,Male,332,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,Female,133,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,Male,126,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,Female,361,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,Male,395,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Community Lab School,Female,105,Community Lab School Albemarle County Public Schools
Albemarle County,Community Lab School,Male,89,Community Lab School Albemarle County Public Schools
Albemarle County,Crozet Elementary,Female,152,Crozet Elementary Albemarle County Public Schools
Albemarle County,Crozet Elementary,Male,173,Crozet Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,Female,165,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,Male,177,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Female,330,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Male,363,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Other,1,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,Female,295,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,Male,305,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,Female,416,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,Male,426,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,Female,285,Lakeside Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,Male,263,Lakeside Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Female,162,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Male,167,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Other,2,Leslie H. Walton Middle Albemarle County Public Schools
