Division Name,School Name,Homeless,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,N,370,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Y,38,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,N,670,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Y,17,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,N,538,Arcadia Middle Accomack County Public Schools
Accomack County,Arcadia Middle,Y,,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,N,212,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague Elementary,Y,14,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,N,258,Chincoteague High Accomack County Public Schools
Accomack County,Chincoteague High,Y,,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,N,459,Kegotank Elementary Accomack County Public Schools
Accomack County,Kegotank Elementary,Y,16,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,N,546,Metompkin Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Y,12,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,N,633,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Y,19,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,N,431,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Y,24,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,N,406,Pungoteague Elementary Accomack County Public Schools
Accomack County,Pungoteague Elementary,Y,30,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,N,41,Tangier Combined Accomack County Public Schools
Accomack County,Tangier Combined,Y,,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,N,454,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Y,,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,N,"1,907",Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Y,10,Albemarle High Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,N,682,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,N,259,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,N,755,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,Y,,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Community Lab School,N,194,Community Lab School Albemarle County Public Schools
Albemarle County,Crozet Elementary,N,325,Crozet Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,N,342,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,N,686,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Y,,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,N,593,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,Y,,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,N,840,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,Y,,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,N,547,Lakeside Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,Y,,Lakeside Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,N,330,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Y,,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,N,474,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,Y,,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,N,321,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Monticello High,N,"1,216",Monticello High Albemarle County Public Schools
