Division Name,School Name,Military,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,N,407,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Y,1,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,N,683,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Y,4,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,N,544,Arcadia Middle Accomack County Public Schools
Accomack County,Arcadia Middle,Y,3,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,N,200,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague Elementary,Y,26,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,N,258,Chincoteague High Accomack County Public Schools
Accomack County,Chincoteague High,Y,8,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,N,474,Kegotank Elementary Accomack County Public Schools
Accomack County,Kegotank Elementary,Y,1,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,N,558,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,N,649,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Y,3,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,N,453,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Y,2,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,N,433,Pungoteague Elementary Accomack County Public Schools
Accomack County,Pungoteague Elementary,Y,3,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,N,42,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,N,444,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Y,12,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,N,"1,857",Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Y,60,Albemarle High Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,N,612,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,Y,70,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,N,241,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,Y,18,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,N,725,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,Y,31,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Community Lab School,N,188,Community Lab School Albemarle County Public Schools
Albemarle County,Community Lab School,Y,6,Community Lab School Albemarle County Public Schools
Albemarle County,Crozet Elementary,N,313,Crozet Elementary Albemarle County Public Schools
Albemarle County,Crozet Elementary,Y,12,Crozet Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,N,303,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,Y,39,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,N,680,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Y,14,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,N,592,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,Y,8,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,N,818,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,Y,24,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,N,517,Lakeside Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,Y,31,Lakeside Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,N,327,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Y,4,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,N,475,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,Y,6,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,N,314,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,Y,7,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Monticello High,N,"1,204",Monticello High Albemarle County Public Schools
Albemarle County,Monticello High,Y,16,Monticello High Albemarle County Public Schools
Albemarle County,Mountain View Elementary,N,723,Mountain View Elementary Albemarle County Public Schools
Albemarle County,Mountain View Elementary,Y,8,Mountain View Elementary Albemarle County Public Schools
Albemarle County,Red Hill Elementary,N,188,Red Hill Elementary Albemarle County Public Schools
Albemarle County,Red Hill Elementary,Y,1,Red Hill Elementary Albemarle County Public Schools
Albemarle County,Scottsville Elementary,N,213,Scottsville Elementary Albemarle County Public Schools
Albemarle County,Scottsville Elementary,Y,3,Scottsville Elementary Albemarle County Public Schools
Albemarle County,Stone Robinson Elementary,N,460,Stone Robinson Elementary Albemarle County Public Schools
Albemarle County,Stone Robinson Elementary,Y,10,Stone Robinson Elementary Albemarle County Public Schools
Albemarle County,Stony Point Elementary,N,181,Stony Point Elementary Albemarle County Public Schools
Albemarle County,Stony Point Elementary,Y,7,Stony Point Elementary Albemarle County Public Schools
Albemarle County,Virginia L. Murray Elementary,N,262,Virginia L. Murray Elementary Albemarle County Public Schools
Albemarle County,Virginia L. Murray Elementary,Y,6,Virginia L. Murray Elementary Albemarle County Public Schools
Albemarle County,Western Albemarle High,N,"1,124",Western Albemarle High Albemarle County Public Schools
Albemarle County,Western Albemarle High,Y,33,Western Albemarle High Albemarle County Public Schools
Albemarle County,Woodbrook Elementary,N,548,Woodbrook Elementary Albemarle County Public Schools
Albemarle County,Woodbrook Elementary,Y,14,Woodbrook Elementary Albemarle County Public Schools
Alexandria City,Alexandria City High,N,"4,371",Alexandria City High Alexandria City Public Schools
Alexandria City,Alexandria City High,Y,31,Alexandria City High Alexandria City Public Schools
Alexandria City,Charles Barrett Elementary,N,549,Charles Barrett Elementary Alexandria City Public Schools
Alexandria City,Charles Barrett Elementary,Y,1,Charles Barrett Elementary Alexandria City Public Schools
Alexandria City,Cora Kelly School for Math Science and Technology,N,277,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Alexandria City,Cora Kelly School for Math Science and Technology,Y,1,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Alexandria City,Douglas Macarthur Elementary,N,565,Douglas Macarthur Elementary Alexandria City Public Schools
Alexandria City,Douglas Macarthur Elementary,Y,2,Douglas Macarthur Elementary Alexandria City Public Schools
Alexandria City,Early Childhood Center,N,179,Early Childhood Center Alexandria City Public Schools
Alexandria City,Ferdinand T. Day Elementary,N,573,Ferdinand T. Day Elementary Alexandria City Public Schools
Alexandria City,Francis C. Hammond Middle,N,"1,410",Francis C. Hammond Middle Alexandria City Public Schools
Alexandria City,Francis C. Hammond Middle,Y,14,Francis C. Hammond Middle Alexandria City Public Schools
Alexandria City,George Mason Elementary,N,347,George Mason Elementary Alexandria City Public Schools
Alexandria City,George Washington Middle,N,"1,427",George Washington Middle Alexandria City Public Schools
Alexandria City,George Washington Middle,Y,20,George Washington Middle Alexandria City Public Schools
Alexandria City,James K. Polk Elementary,N,752,James K. Polk Elementary Alexandria City Public Schools
Alexandria City,James K. Polk Elementary,Y,5,James K. Polk Elementary Alexandria City Public Schools
Alexandria City,Jefferson-Houston PK-8 School,N,636,Jefferson-Houston PK-8 School Alexandria City Public Schools
Alexandria City,Jefferson-Houston PK-8 School,Y,8,Jefferson-Houston PK-8 School Alexandria City Public Schools
Alexandria City,John Adams Elementary,N,673,John Adams Elementary Alexandria City Public Schools
Alexandria City,John Adams Elementary,Y,18,John Adams Elementary Alexandria City Public Schools
Alexandria City,Lyles-Crouch Elementary,N,385,Lyles-Crouch Elementary Alexandria City Public Schools
Alexandria City,Lyles-Crouch Elementary,Y,15,Lyles-Crouch Elementary Alexandria City Public Schools
Alexandria City,Mount Vernon Elementary,N,881,Mount Vernon Elementary Alexandria City Public Schools
Alexandria City,Mount Vernon Elementary,Y,7,Mount Vernon Elementary Alexandria City Public Schools
Alexandria City,Naomi L. Brooks Elementary,N,334,Naomi L. Brooks Elementary Alexandria City Public Schools
Alexandria City,Naomi L. Brooks Elementary,Y,6,Naomi L. Brooks Elementary Alexandria City Public Schools
Alexandria City,Patrick Henry K-8 School,N,895,Patrick Henry K-8 School Alexandria City Public Schools
Alexandria City,Patrick Henry K-8 School,Y,1,Patrick Henry K-8 School Alexandria City Public Schools
Alexandria City,Samuel W. Tucker Elementary,N,713,Samuel W. Tucker Elementary Alexandria City Public Schools
Alexandria City,Samuel W. Tucker Elementary,Y,18,Samuel W. Tucker Elementary Alexandria City Public Schools
Alexandria City,William Ramsay Elementary,N,593,William Ramsay Elementary Alexandria City Public Schools
Alexandria City,William Ramsay Elementary,Y,5,William Ramsay Elementary Alexandria City Public Schools
Alleghany County,Alleghany High,N,582,Alleghany High Alleghany County Public Schools
Alleghany County,Callaghan Elementary,N,256,Callaghan Elementary Alleghany County Public Schools
Alleghany County,Callaghan Elementary,Y,1,Callaghan Elementary Alleghany County Public Schools
Alleghany County,Clifton Middle,N,409,Clifton Middle Alleghany County Public Schools
Alleghany County,Clifton Middle,Y,2,Clifton Middle Alleghany County Public Schools
Alleghany County,Mountain View Elementary,N,469,Mountain View Elementary Alleghany County Public Schools
Alleghany County,Mountain View Elementary,Y,1,Mountain View Elementary Alleghany County Public Schools
Alleghany County,Sharon Elementary,N,190,Sharon Elementary Alleghany County Public Schools
Alleghany County,Sharon Elementary,Y,1,Sharon Elementary Alleghany County Public Schools
Amelia County,Amelia County Elementary,N,733,Amelia County Elementary Amelia County Public Schools
Amelia County,Amelia County Elementary,Y,8,Amelia County Elementary Amelia County Public Schools
Amelia County,Amelia County High,N,475,Amelia County High Amelia County Public Schools
Amelia County,Amelia County High,Y,18,Amelia County High Amelia County Public Schools
Amelia County,Amelia County Middle,N,391,Amelia County Middle Amelia County Public Schools
Amelia County,Amelia County Middle,Y,10,Amelia County Middle Amelia County Public Schools
Amherst County,Amelon Elementary,N,432,Amelon Elementary Amherst County Public Schools
Amherst County,Amelon Elementary,Y,2,Amelon Elementary Amherst County Public Schools
Amherst County,Amherst County High,N,"1,207",Amherst County High Amherst County Public Schools
Amherst County,Amherst County High,Y,10,Amherst County High Amherst County Public Schools
Amherst County,Amherst Elementary,N,230,Amherst Elementary Amherst County Public Schools
Amherst County,Amherst Elementary,Y,3,Amherst Elementary Amherst County Public Schools
Amherst County,Amherst Middle,N,370,Amherst Middle Amherst County Public Schools
Amherst County,Amherst Middle,Y,8,Amherst Middle Amherst County Public Schools
Amherst County,Central Elementary,N,331,Central Elementary Amherst County Public Schools
Amherst County,Central Elementary,Y,1,Central Elementary Amherst County Public Schools
Amherst County,Elon Elementary,N,337,Elon Elementary Amherst County Public Schools
Amherst County,Elon Elementary,Y,3,Elon Elementary Amherst County Public Schools
Amherst County,Madison Heights Elementary,N,379,Madison Heights Elementary Amherst County Public Schools
Amherst County,Madison Heights Elementary,Y,2,Madison Heights Elementary Amherst County Public Schools
Amherst County,Monelison Middle,N,551,Monelison Middle Amherst County Public Schools
Amherst County,Monelison Middle,Y,9,Monelison Middle Amherst County Public Schools
Amherst County,Temperance Elementary,N,95,Temperance Elementary Amherst County Public Schools
Appomattox County,Appomattox County High,N,683,Appomattox County High Appomattox County Public Schools
Appomattox County,Appomattox County High,Y,13,Appomattox County High Appomattox County Public Schools
Appomattox County,Appomattox Elementary,N,492,Appomattox Elementary Appomattox County Public Schools
Appomattox County,Appomattox Elementary,Y,9,Appomattox Elementary Appomattox County Public Schools
Appomattox County,Appomattox Middle,N,531,Appomattox Middle Appomattox County Public Schools
Appomattox County,Appomattox Middle,Y,12,Appomattox Middle Appomattox County Public Schools
Appomattox County,Appomattox Primary,N,585,Appomattox Primary Appomattox County Public Schools
Appomattox County,Appomattox Primary,Y,13,Appomattox Primary Appomattox County Public Schools
Arlington County,Abingdon Elementary,N,690,Abingdon Elementary Arlington County Public Schools
Arlington County,Abingdon Elementary,Y,16,Abingdon Elementary Arlington County Public Schools
Arlington County,Alice West Fleet Elementary,N,512,Alice West Fleet Elementary Arlington County Public Schools
Arlington County,Alice West Fleet Elementary,Y,72,Alice West Fleet Elementary Arlington County Public Schools
Arlington County,Arlington Community High,N,176,Arlington Community High Arlington County Public Schools
Arlington County,Arlington Community High,Y,1,Arlington Community High Arlington County Public Schools
Arlington County,Arlington Science Focus School,N,438,Arlington Science Focus School Arlington County Public Schools
Arlington County,Arlington Science Focus School,Y,18,Arlington Science Focus School Arlington County Public Schools
Arlington County,Arlington Traditional,N,638,Arlington Traditional Arlington County Public Schools
Arlington County,Arlington Traditional,Y,30,Arlington Traditional Arlington County Public Schools
Arlington County,Ashlawn Elementary,N,517,Ashlawn Elementary Arlington County Public Schools
Arlington County,Ashlawn Elementary,Y,23,Ashlawn Elementary Arlington County Public Schools
Arlington County,Barcroft Elementary,N,430,Barcroft Elementary Arlington County Public Schools
Arlington County,Barcroft Elementary,Y,10,Barcroft Elementary Arlington County Public Schools
Arlington County,Barrett Elementary,N,515,Barrett Elementary Arlington County Public Schools
Arlington County,Barrett Elementary,Y,13,Barrett Elementary Arlington County Public Schools
Arlington County,Campbell Elementary,N,416,Campbell Elementary Arlington County Public Schools
Arlington County,Campbell Elementary,Y,10,Campbell Elementary Arlington County Public Schools
Arlington County,Cardinal Elementary,N,624,Cardinal Elementary Arlington County Public Schools
Arlington County,Cardinal Elementary,Y,34,Cardinal Elementary Arlington County Public Schools
Arlington County,Carlin Springs Elementary,N,542,Carlin Springs Elementary Arlington County Public Schools
Arlington County,Carlin Springs Elementary,Y,2,Carlin Springs Elementary Arlington County Public Schools
Arlington County,Claremont Immersion,N,656,Claremont Immersion Arlington County Public Schools
Arlington County,Claremont Immersion,Y,22,Claremont Immersion Arlington County Public Schools
Arlington County,Discovery Elementary,N,485,Discovery Elementary Arlington County Public Schools
Arlington County,Discovery Elementary,Y,28,Discovery Elementary Arlington County Public Schools
Arlington County,Dorothy Hamm Middle,N,875,Dorothy Hamm Middle Arlington County Public Schools
Arlington County,Dorothy Hamm Middle,Y,50,Dorothy Hamm Middle Arlington County Public Schools
Arlington County,Dr. Charles R. Drew Elementary,N,445,Dr. Charles R. Drew Elementary Arlington County Public Schools
Arlington County,Dr. Charles R. Drew Elementary,Y,8,Dr. Charles R. Drew Elementary Arlington County Public Schools
Arlington County,Escuela Key Elementary,N,612,Escuela Key Elementary Arlington County Public Schools
Arlington County,Escuela Key Elementary,Y,13,Escuela Key Elementary Arlington County Public Schools
Arlington County,Glebe Elementary,N,514,Glebe Elementary Arlington County Public Schools
Arlington County,Glebe Elementary,Y,25,Glebe Elementary Arlington County Public Schools
Arlington County,Gunston Middle,N,"1,090",Gunston Middle Arlington County Public Schools
Arlington County,Gunston Middle,Y,95,Gunston Middle Arlington County Public Schools
Arlington County,Hoffman-Boston Elementary,N,513,Hoffman-Boston Elementary Arlington County Public Schools
Arlington County,Hoffman-Boston Elementary,Y,53,Hoffman-Boston Elementary Arlington County Public Schools
Arlington County,Innovation Elementary,N,391,Innovation Elementary Arlington County Public Schools
Arlington County,Innovation Elementary,Y,13,Innovation Elementary Arlington County Public Schools
Arlington County,Integration Station,N,30,Integration Station Arlington County Public Schools
Arlington County,Integration Station,Y,1,Integration Station Arlington County Public Schools
Arlington County,Jamestown Elementary,N,462,Jamestown Elementary Arlington County Public Schools
Arlington County,Jamestown Elementary,Y,36,Jamestown Elementary Arlington County Public Schools
Arlington County,Jefferson Middle,N,881,Jefferson Middle Arlington County Public Schools
