Division Name,School Name,Disabled,Total Count,Sch_Div
Accomack County,Accawmacke Elementary,N,366,Accawmacke Elementary Accomack County Public Schools
Accomack County,Accawmacke Elementary,Y,42,Accawmacke Elementary Accomack County Public Schools
Accomack County,Arcadia High,N,598,Arcadia High Accomack County Public Schools
Accomack County,Arcadia High,Y,89,Arcadia High Accomack County Public Schools
Accomack County,Arcadia Middle,N,456,Arcadia Middle Accomack County Public Schools
Accomack County,Arcadia Middle,Y,91,Arcadia Middle Accomack County Public Schools
Accomack County,Chincoteague Elementary,N,197,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague Elementary,Y,29,Chincoteague Elementary Accomack County Public Schools
Accomack County,Chincoteague High,N,231,Chincoteague High Accomack County Public Schools
Accomack County,Chincoteague High,Y,35,Chincoteague High Accomack County Public Schools
Accomack County,Kegotank Elementary,N,393,Kegotank Elementary Accomack County Public Schools
Accomack County,Kegotank Elementary,Y,82,Kegotank Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,N,495,Metompkin Elementary Accomack County Public Schools
Accomack County,Metompkin Elementary,Y,63,Metompkin Elementary Accomack County Public Schools
Accomack County,Nandua High,N,552,Nandua High Accomack County Public Schools
Accomack County,Nandua High,Y,100,Nandua High Accomack County Public Schools
Accomack County,Nandua Middle,N,387,Nandua Middle Accomack County Public Schools
Accomack County,Nandua Middle,Y,68,Nandua Middle Accomack County Public Schools
Accomack County,Pungoteague Elementary,N,376,Pungoteague Elementary Accomack County Public Schools
Accomack County,Pungoteague Elementary,Y,60,Pungoteague Elementary Accomack County Public Schools
Accomack County,Tangier Combined,N,36,Tangier Combined Accomack County Public Schools
Accomack County,Tangier Combined,Y,,Tangier Combined Accomack County Public Schools
Albemarle County,Agnor-Hurt Elementary,N,406,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Agnor-Hurt Elementary,Y,50,Agnor-Hurt Elementary Albemarle County Public Schools
Albemarle County,Albemarle High,N,"1,693",Albemarle High Albemarle County Public Schools
Albemarle County,Albemarle High,Y,224,Albemarle High Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,N,602,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Baker-Butler Elem,Y,80,Baker-Butler Elem Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,N,226,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Broadus Wood Elementary,Y,33,Broadus Wood Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,N,683,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Brownsville Elementary,Y,73,Brownsville Elementary Albemarle County Public Schools
Albemarle County,Community Lab School,N,156,Community Lab School Albemarle County Public Schools
Albemarle County,Community Lab School,Y,38,Community Lab School Albemarle County Public Schools
Albemarle County,Crozet Elementary,N,292,Crozet Elementary Albemarle County Public Schools
Albemarle County,Crozet Elementary,Y,33,Crozet Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,N,290,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Hollymead Elementary,Y,52,Hollymead Elementary Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,N,584,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jack Jouett Middle,Y,110,Jack Jouett Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,N,515,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Jackson P. Burley Middle,Y,85,Jackson P. Burley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,N,756,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Joseph T. Henley Middle,Y,86,Joseph T. Henley Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,N,497,Lakeside Middle Albemarle County Public Schools
Albemarle County,Lakeside Middle,Y,51,Lakeside Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,N,271,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Leslie H. Walton Middle,Y,60,Leslie H. Walton Middle Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,N,421,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Mary Carr Greer Elementary,Y,60,Mary Carr Greer Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,N,289,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Meriwether Lewis Elementary,Y,32,Meriwether Lewis Elementary Albemarle County Public Schools
Albemarle County,Monticello High,N,"1,048",Monticello High Albemarle County Public Schools
Albemarle County,Monticello High,Y,172,Monticello High Albemarle County Public Schools
Albemarle County,Mountain View Elementary,N,639,Mountain View Elementary Albemarle County Public Schools
Albemarle County,Mountain View Elementary,Y,92,Mountain View Elementary Albemarle County Public Schools
Albemarle County,Red Hill Elementary,N,157,Red Hill Elementary Albemarle County Public Schools
Albemarle County,Red Hill Elementary,Y,32,Red Hill Elementary Albemarle County Public Schools
Albemarle County,Scottsville Elementary,N,186,Scottsville Elementary Albemarle County Public Schools
Albemarle County,Scottsville Elementary,Y,30,Scottsville Elementary Albemarle County Public Schools
Albemarle County,Stone Robinson Elementary,N,395,Stone Robinson Elementary Albemarle County Public Schools
Albemarle County,Stone Robinson Elementary,Y,75,Stone Robinson Elementary Albemarle County Public Schools
Albemarle County,Stony Point Elementary,N,174,Stony Point Elementary Albemarle County Public Schools
Albemarle County,Stony Point Elementary,Y,14,Stony Point Elementary Albemarle County Public Schools
Albemarle County,Virginia L. Murray Elementary,N,242,Virginia L. Murray Elementary Albemarle County Public Schools
Albemarle County,Virginia L. Murray Elementary,Y,26,Virginia L. Murray Elementary Albemarle County Public Schools
Albemarle County,Western Albemarle High,N,"1,024",Western Albemarle High Albemarle County Public Schools
Albemarle County,Western Albemarle High,Y,133,Western Albemarle High Albemarle County Public Schools
Albemarle County,Woodbrook Elementary,N,498,Woodbrook Elementary Albemarle County Public Schools
Albemarle County,Woodbrook Elementary,Y,64,Woodbrook Elementary Albemarle County Public Schools
Alexandria City,Alexandria City High,N,"3,955",Alexandria City High Alexandria City Public Schools
Alexandria City,Alexandria City High,Y,447,Alexandria City High Alexandria City Public Schools
