School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Galax Elementary,Galax City Public Schools,66.3,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,63.2,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,62,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,94.3,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,94.5,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,94.5,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,94.2,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,94.5,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,94.5,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,94.5,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,94.5,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,94.4,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,94.3,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,49.9,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,40.5,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,31.3,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,56,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,30.8,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,29.6,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,36.7,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,18.8,West Point Middle/High West Point Public Schools
Millboro Elementary,Bath County Public Schools,61.6,Millboro Elementary Bath County Public Schools
Bath County High,Bath County Public Schools,44.2,Bath County High Bath County Public Schools
Valley Elementary,Bath County Public Schools,60.9,Valley Elementary Bath County Public Schools
Norton Elementary,Norton City Public Schools,92.7,Norton Elementary Norton City Public Schools
Luray Elementary,Page County Public Schools,64.9,Luray Elementary Page County Public Schools
Luray High,Page County Public Schools,48.5,Luray High Page County Public Schools
Stanley Elementary,Page County Public Schools,63.2,Stanley Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,53.5,Springfield Elementary Page County Public Schools
Page County High,Page County Public Schools,46.6,Page County High Page County Public Schools
Page County Middle,Page County Public Schools,59.7,Page County Middle Page County Public Schools
Shenandoah Elementary,Page County Public Schools,58,Shenandoah Elementary Page County Public Schools
Luray Middle,Page County Public Schools,56,Luray Middle Page County Public Schools
L.F. Addington Middle,Wise County Public Schools,57.6,L.F. Addington Middle Wise County Public Schools
Wise Primary,Wise County Public Schools,87.8,Wise Primary Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,87.8,J.W. Adams Combined Wise County Public Schools
Central High,Wise County Public Schools,45.8,Central High Wise County Public Schools
Coeburn Middle,Wise County Public Schools,87.5,Coeburn Middle Wise County Public Schools
Coeburn Primary,Wise County Public Schools,87.8,Coeburn Primary Wise County Public Schools
Eastside High,Wise County Public Schools,52.7,Eastside High Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,87.7,St. Paul Elementary Wise County Public Schools
Union High,Wise County Public Schools,87.7,Union High Wise County Public Schools
Union Middle,Wise County Public Schools,87.6,Union Middle Wise County Public Schools
Union Primary,Wise County Public Schools,87.6,Union Primary Wise County Public Schools
Grafton Bethel Elementary,York County Public Schools,22.6,Grafton Bethel Elementary York County Public Schools
Seaford Elementary,York County Public Schools,22.8,Seaford Elementary York County Public Schools
Dare Elementary,York County Public Schools,28,Dare Elementary York County Public Schools
Grafton High,York County Public Schools,16.4,Grafton High York County Public Schools
York High,York County Public Schools,20.1,York High York County Public Schools
Yorktown Elementary,York County Public Schools,36.3,Yorktown Elementary York County Public Schools
Yorktown Middle,York County Public Schools,30,Yorktown Middle York County Public Schools
Coventry Elementary,York County Public Schools,16.2,Coventry Elementary York County Public Schools
Tabb Elementary,York County Public Schools,17.3,Tabb Elementary York County Public Schools
Tabb High,York County Public Schools,16,Tabb High York County Public Schools
Tabb Middle,York County Public Schools,25.6,Tabb Middle York County Public Schools
Magruder Elementary,York County Public Schools,35,Magruder Elementary York County Public Schools
Queens Lake Middle,York County Public Schools,25.7,Queens Lake Middle York County Public Schools
Waller Mill Elementary,York County Public Schools,18.1,Waller Mill Elementary York County Public Schools
Bruton High,York County Public Schools,28.5,Bruton High York County Public Schools
Bethel Manor Elementary,York County Public Schools,43.7,Bethel Manor Elementary York County Public Schools
Bland County High,Bland County Public Schools,46.8,Bland County High Bland County Public Schools
Virginia High,Bristol City Public Schools,80,Virginia High Bristol City Public Schools
Highland View Elementary,Bristol City Public Schools,93.7,Highland View Elementary Bristol City Public Schools
Virginia Middle,Bristol City Public Schools,93.7,Virginia Middle Bristol City Public Schools
Joseph Van Pelt Elementary,Bristol City Public Schools,93.9,Joseph Van Pelt Elementary Bristol City Public Schools
Washington-Lee Elementary,Bristol City Public Schools,79.8,Washington-Lee Elementary Bristol City Public Schools
Stonewall Jackson Elementary,Bristol City Public Schools,93.9,Stonewall Jackson Elementary Bristol City Public Schools
Craig County High,Craig County Public Schools,47.6,Craig County High Craig County Public Schools
McCleary Elementary,Craig County Public Schools,63.2,McCleary Elementary Craig County Public Schools
Essex High,Essex County Public Schools,60.3,Essex High Essex County Public Schools
Tappahannock Elementary,Essex County Public Schools,100,Tappahannock Elementary Essex County Public Schools
Check Elementary,Floyd County Public Schools,48.9,Check Elementary Floyd County Public Schools
Floyd County High,Floyd County Public Schools,40.1,Floyd County High Floyd County Public Schools
Floyd Elementary,Floyd County Public Schools,49.3,Floyd Elementary Floyd County Public Schools
Willis Elementary,Floyd County Public Schools,70.9,Willis Elementary Floyd County Public Schools
Indian Valley Elementary,Floyd County Public Schools,42,Indian Valley Elementary Floyd County Public Schools
Narrows High,Giles County Public Schools,47.7,Narrows High Giles County Public Schools
Giles High,Giles County Public Schools,36.2,Giles High Giles County Public Schools
Macy Mcclaugherty Elementary/Middle,Giles County Public Schools,54.8,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
A.W.E. Bassette Elementary,Hampton City Public Schools,91.1,A.W.E. Bassette Elementary Hampton City Public Schools
Armstrong Elementary,Hampton City Public Schools,29.5,Armstrong Elementary Hampton City Public Schools
C. Alton Lindsay Middle,Hampton City Public Schools,91,C. Alton Lindsay Middle Hampton City Public Schools
Hunter B. Andrews,Hampton City Public Schools,91.1,Hunter B. Andrews Hampton City Public Schools
Francis W. Jones Magnet Middle,Hampton City Public Schools,42.2,Francis W. Jones Magnet Middle Hampton City Public Schools
Jane H. Bryan Elementary,Hampton City Public Schools,91.1,Jane H. Bryan Elementary Hampton City Public Schools
Mary T. Christian Elementary,Hampton City Public Schools,90.9,Mary T. Christian Elementary Hampton City Public Schools
Phoebus High,Hampton City Public Schools,61.1,Phoebus High Hampton City Public Schools
Francis Asbury Elementary,Hampton City Public Schools,40.8,Francis Asbury Elementary Hampton City Public Schools
Aberdeen Elementary,Hampton City Public Schools,91.1,Aberdeen Elementary Hampton City Public Schools
Bethel High,Hampton City Public Schools,44.7,Bethel High Hampton City Public Schools
Cesar Tarrant Middle,Hampton City Public Schools,91.2,Cesar Tarrant Middle Hampton City Public Schools
George P. Phenix Elementary,Hampton City Public Schools,39.5,George P. Phenix Elementary Hampton City Public Schools
Mary W. Jackson Elementary,Hampton City Public Schools,30.8,Mary W. Jackson Elementary Hampton City Public Schools
Paul Burbank Elementary,Hampton City Public Schools,55,Paul Burbank Elementary Hampton City Public Schools
Thomas Eaton Middle,Hampton City Public Schools,53.2,Thomas Eaton Middle Hampton City Public Schools
William Mason Cooper Elementary,Hampton City Public Schools,40.5,William Mason Cooper Elementary Hampton City Public Schools
Benjamin Syms Middle,Hampton City Public Schools,91.1,Benjamin Syms Middle Hampton City Public Schools
Hampton High,Hampton City Public Schools,55.2,Hampton High Hampton City Public Schools
Mary S. Peake Elementary,Hampton City Public Schools,91.1,Mary S. Peake Elementary Hampton City Public Schools
Phillips Elementary,Hampton City Public Schools,53.6,Phillips Elementary Hampton City Public Schools
Samuel P. Langley Elementary,Hampton City Public Schools,52.8,Samuel P. Langley Elementary Hampton City Public Schools
Kecoughtan High,Hampton City Public Schools,39.6,Kecoughtan High Hampton City Public Schools
Albert W. Patrick III Elementary,Hampton City Public Schools,91,Albert W. Patrick III Elementary Hampton City Public Schools
Captain John Smith Elementary,Hampton City Public Schools,91.1,Captain John Smith Elementary Hampton City Public Schools
Barron Elementary,Hampton City Public Schools,40,Barron Elementary Hampton City Public Schools
Alfred S. Forrest Elementary,Hampton City Public Schools,60.8,Alfred S. Forrest Elementary Hampton City Public Schools
Sanville Elementary,Henry County Public Schools,88.6,Sanville Elementary Henry County Public Schools
Drewry Mason Elementary,Henry County Public Schools,88.7,Drewry Mason Elementary Henry County Public Schools
Magna Vista High,Henry County Public Schools,88.6,Magna Vista High Henry County Public Schools
Stanleytown Elementary,Henry County Public Schools,88.6,Stanleytown Elementary Henry County Public Schools
Meadow View Elementary,Henry County Public Schools,88.7,Meadow View Elementary Henry County Public Schools
Bassett High,Henry County Public Schools,88.7,Bassett High Henry County Public Schools
Rich Acres Elementary,Henry County Public Schools,88.7,Rich Acres Elementary Henry County Public Schools
Campbell Court Elementary,Henry County Public Schools,88.8,Campbell Court Elementary Henry County Public Schools
Axton Elementary,Henry County Public Schools,88.6,Axton Elementary Henry County Public Schools
Ingleside Elementary,Norfolk City Public Schools,96,Ingleside Elementary Norfolk City Public Schools
Lake Taylor,Norfolk City Public Schools,96,Lake Taylor Norfolk City Public Schools
Bay View Elementary,Norfolk City Public Schools,53.3,Bay View Elementary Norfolk City Public Schools
Mary Calcott Elementary,Norfolk City Public Schools,54.2,Mary Calcott Elementary Norfolk City Public Schools
Northside Middle,Norfolk City Public Schools,96,Northside Middle Norfolk City Public Schools
Ocean View Elementary,Norfolk City Public Schools,59.3,Ocean View Elementary Norfolk City Public Schools
Oceanair Elementary,Norfolk City Public Schools,95.9,Oceanair Elementary Norfolk City Public Schools
Booker T Washington High,Norfolk City Public Schools,96,Booker T Washington High Norfolk City Public Schools
Chesterfield Elementary,Norfolk City Public Schools,96,Chesterfield Elementary Norfolk City Public Schools
Jacox Elementary,Norfolk City Public Schools,95.9,Jacox Elementary Norfolk City Public Schools
Lindenwood Elementary,Norfolk City Public Schools,96.1,Lindenwood Elementary Norfolk City Public Schools
Richard Bowling Elementary,Norfolk City Public Schools,95.9,Richard Bowling Elementary Norfolk City Public Schools
Tidewater Park Elementary,Norfolk City Public Schools,96.1,Tidewater Park Elementary Norfolk City Public Schools
William H. Ruffner Middle,Norfolk City Public Schools,95.9,William H. Ruffner Middle Norfolk City Public Schools
Camp Allen Elementary,Norfolk City Public Schools,61.8,Camp Allen Elementary Norfolk City Public Schools
Granby Elementary,Norfolk City Public Schools,95.9,Granby Elementary Norfolk City Public Schools
Sewells Point Elementary,Norfolk City Public Schools,48.6,Sewells Point Elementary Norfolk City Public Schools
Suburban Park Elementary,Norfolk City Public Schools,95.9,Suburban Park Elementary Norfolk City Public Schools
Walter Herron Taylor Elementary,Norfolk City Public Schools,31.1,Walter Herron Taylor Elementary Norfolk City Public Schools
James Monroe Elementary,Norfolk City Public Schools,96.1,James Monroe Elementary Norfolk City Public Schools
Larchmont Elementary,Norfolk City Public Schools,22.6,Larchmont Elementary Norfolk City Public Schools
Coleman Place Elementary,Norfolk City Public Schools,96,Coleman Place Elementary Norfolk City Public Schools
Norview Elementary,Norfolk City Public Schools,96.1,Norview Elementary Norfolk City Public Schools
Norview High,Norfolk City Public Schools,56.8,Norview High Norfolk City Public Schools
Norview Middle,Norfolk City Public Schools,96,Norview Middle Norfolk City Public Schools
Sherwood Forest Elementary,Norfolk City Public Schools,96,Sherwood Forest Elementary Norfolk City Public Schools
Tanners Creek Elementary,Norfolk City Public Schools,96,Tanners Creek Elementary Norfolk City Public Schools
Blair Middle,Norfolk City Public Schools,64,Blair Middle Norfolk City Public Schools
Ghent K-8,Norfolk City Public Schools,30.6,Ghent K-8 Norfolk City Public Schools
Azalea Gardens Middle,Norfolk City Public Schools,65.2,Azalea Gardens Middle Norfolk City Public Schools
Crossroads PreK-8 School,Norfolk City Public Schools,61.4,Crossroads PreK-8 School Norfolk City Public Schools
Little Creek Elementary,Norfolk City Public Schools,95.9,Little Creek Elementary Norfolk City Public Schools
St. Helena Elementary,Norfolk City Public Schools,95.9,St. Helena Elementary Norfolk City Public Schools
Granby High,Norfolk City Public Schools,55,Granby High Norfolk City Public Schools
Academy for Discovery at Lakewood,Norfolk City Public Schools,32.7,Academy for Discovery at Lakewood Norfolk City Public Schools
Willard Elementary,Norfolk City Public Schools,96.1,Willard Elementary Norfolk City Public Schools
Tarrallton Elementary,Norfolk City Public Schools,52.7,Tarrallton Elementary Norfolk City Public Schools
Larrymore Elementary,Norfolk City Public Schools,96,Larrymore Elementary Norfolk City Public Schools
Belle Heth Elementary,Radford City Public Schools,48.5,Belle Heth Elementary Radford City Public Schools
John N. Dalton Intermediate,Radford City Public Schools,41.3,John N. Dalton Intermediate Radford City Public Schools
Radford High,Radford City Public Schools,35.3,Radford High Radford City Public Schools
Breckinridge Middle,Roanoke City Public Schools,100,Breckinridge Middle Roanoke City Public Schools
Lincoln Terrace Elementary,Roanoke City Public Schools,100,Lincoln Terrace Elementary Roanoke City Public Schools
Monterey Elementary,Roanoke City Public Schools,100,Monterey Elementary Roanoke City Public Schools
Preston Park Elementary,Roanoke City Public Schools,100,Preston Park Elementary Roanoke City Public Schools
Round Hill Elementary,Roanoke City Public Schools,100,Round Hill Elementary Roanoke City Public Schools
Fallon Park Elementary,Roanoke City Public Schools,100,Fallon Park Elementary Roanoke City Public Schools
