School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
Galax Elementary,Galax City Public Schools,673.77,1391,6228,1991,3758,13368,9007096,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,364.22,582,11040,1991,3758,17370,6326623,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,311.97,526,7163,1991,3758,13438,4192233,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,141.91,2801,9416,951,2773,15941,2262190,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,236.96,2036,9694,951,2773,15454,3662085,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,774.76,458,7199,951,2773,11382,8817949,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,124.29,2947,10496,951,2773,17166,2133610,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,288.67,3002,7234,951,2773,13960,4029788,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,233.09,2066,7370,951,2773,13160,3067511,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,277.88,1364,8487,951,2773,13575,3772284,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,293.42,1676,8074,951,2773,13474,3953437,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,260.63,3622,6853,951,2773,14199,3700563,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,298.05,1774,9240,951,2773,14738,4392775,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,443.92,1541,8296,511,3657,14005,6217113,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,875.44,651,8239,511,3657,13059,11432109,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,375.18,1067,7901,511,3657,13136,4928310,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,444.73,1767,8195,511,3657,14130,6284049,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,1231.15,476,8257,511,3657,12901,15882804,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,396.11,464,8989,511,3657,13622,5395804,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,361.33,1395,9865,0,3799,15059,5441290,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,447.1,122,8417,0,3799,12338,5516150,West Point Middle/High West Point Public Schools
