Sch_div,School,Division,Street,City,State,Zip,Latitude,Longitude
Tappahannock Elementary Essex County Public Schools,Tappahannock Elementary,Essex County Public Schools,205 Elementary School Circle,Tappahannock,VA,22560,37.931841,-76.861734
Patrick Springs Primary Patrick County Public Schools,Patrick Springs Primary,Patrick County Public Schools,75 Elementary Lane,Patrick Springs,VA,24133,36.643265,-80.199517
Carysbrook Elementary Fluvanna County Public Schools,Carysbrook Elementary,Fluvanna County Public Schools,9172 James Madison Highway,Fork Union,VA,23055,37.81352,-78.244051
Lancaster Primary Lancaster County Public Schools,Lancaster Primary,Lancaster County Public Schools,36 Primary School Circle,Lancaster,VA,22503,37.751417,-76.416346
Mathews Elementary Mathews County Public Schools,Mathews Elementary,Mathews County Public Schools,"Rt 611, 347 Church Street",Mathews,VA,23109,37.438648,-76.329785
Cumberland Elementary Cumberland County Public Schools,Cumberland Elementary,Cumberland County Public Schools,60 School Rd,Cumberland,VA,23040,37.490737,-78.249792
Blackstone Primary Nottoway County Public Schools,Blackstone Primary,Nottoway County Public Schools,615 East Street,Blackstone,VA,23824,37.072838,-77.994646
Crewe Primary Nottoway County Public Schools,Crewe Primary,Nottoway County Public Schools,1953 Sunnyside Rd,Crewe,VA,23930,37.165133,-78.109593
Prince Edward Elementary Prince Edward County Public Schools,Prince Edward Elementary,Prince Edward County Public Schools,35 Eagle Dr.,Farmville,VA,23901,37.267205,-78.405593
Surry Elementary Surry County Public Schools,Surry Elementary,Surry County Public Schools,1600 Hollybush Rd,Dendron,VA,23839,37.079203,-76.902095
Frederick Douglass Elementary Winchester City Public Schools,Frederick Douglass Elementary,Winchester City Public Schools,100 Cedarmeade Ave,Winchester,VA,22601,39.151578,-78.180695
Garland R. Quarles Elementary Winchester City Public Schools,Garland R. Quarles Elementary,Winchester City Public Schools,1310 S Loudoun St,Winchester,VA,22601,39.172318,-78.16766
John Kerr Elementary Winchester City Public Schools,John Kerr Elementary,Winchester City Public Schools,427 Meadow Branch Ave,Winchester,VA,22601,39.186939,-78.191492
Appomattox Elementary Appomattox County Public Schools,Appomattox Elementary,Appomattox County Public Schools,176 Kids Place,Appomattox,VA,24522,37.352366,-78.838052
Buckingham Co Elementary Buckingham County Public Schools,Buckingham Co Elementary,Buckingham County Public Schools,40 Frank Harris Raod,Dillwyn,VA,23936,37.55294,-78.483887
Enderly Heights Elementary Buena Vista City Public Schools,Enderly Heights Elementary,Buena Vista City Public Schools,101 Woodland Ave,Buena Vista,VA,24416,37.714384,-79.364271
Oak Street Elementary Falls Church City Public Schools,Oak Street Elementary,Falls Church City Public Schools,601 S Oak St,Falls Church,VA,22046,38.883347,-77.183796
Nathanael Greene Elementary Greene County Public Schools,Nathanael Greene Elementary,Greene County Public Schools,8094 Spotswood Trail,Stanardsville,VA,22973,38.296084,-78.446276
Acquinton Elementary King William County Public Schools,Acquinton Elementary,King William County Public Schools,18550 King William Road,King William,VA,23086,37.692811,-77.034772
Waverly Yowell Elementary Madison County Public Schools,Waverly Yowell Elementary,Madison County Public Schools,1809 North Main Street,Madison,VA,22727,38.384616,-78.251926
Manassas Park Elementary Manassas Park City Public Schools,Manassas Park Elementary,Manassas Park City Public Schools,9298 Cougar Court,Manassas Park,VA,20111,38.7618,-77.42252
Lightfoot Elementary Orange County Public Schools,Lightfoot Elementary,Orange County Public Schools,11360 Zachary Taylor Hwy,Unionville,VA,22567,38.246079,-77.953327
Locust Grove Elementary Orange County Public Schools,Locust Grove Elementary,Orange County Public Schools,31208 Constitution Highway,Locust Grove,VA,22508,38.299285,-77.830028
Poquoson Elementary Poquoson City Public Schools,Poquoson Elementary,Poquoson City Public Schools,1033 Poquoson Ave,Poquoson,VA,23662,37.129376,-76.361283
Belfield Elementary Greensville County Public Schools,Belfield Elementary,Greensville County Public Schools,515 Belfield Rd,Emporia,VA,23847,36.721079,-77.539348
Callaghan Elementary Alleghany Highlands Public Schools,Callaghan Elementary,Alleghany Highlands Public Schools,4050 Midland Trail,Covington,VA,24426,37.813229,-80.078109
Mountain View Elementary Alleghany Highlands Public Schools,Mountain View Elementary,Alleghany Highlands Public Schools,100 Gleason Dr.,Covington,VA,24426,37.800745,-79.874017
Sharon Elementary Alleghany Highlands Public Schools,Sharon Elementary,Alleghany Highlands Public Schools,606 S. Lexington Ave,Covington,VA,24426,37.784073,-79.991508
D.G. Cooley Elementary Clarke County Public Schools,D.G. Cooley Elementary,Clarke County Public Schools,240 Westwood Rd,Berryville,VA,22611,39.158881,-78.001449
Dinwiddie Elementary Dinwiddie County Public Schools,Dinwiddie Elementary,Dinwiddie County Public Schools,13811 Boydton Plank Rd,Dinwiddie,VA,23841,37.080851,-77.582093
Midway Elementary Dinwiddie County Public Schools,Midway Elementary,Dinwiddie County Public Schools,5511 Midway Rd,Church Road,VA,23833,37.195759,-77.614983
Hugh Mercer Elementary Fredericksburg City Public Schools,Hugh Mercer Elementary,Fredericksburg City Public Schools,2100 Cowan Blvd,Fredericksburg,VA,22401,38.302698,-77.486802
Lafayette Elementary Fredericksburg City Public Schools,Lafayette Elementary,Fredericksburg City Public Schools,3 Learning Lane,Fredericksburg,VA,22401,38.275328,-77.490354
