School Name,Division Name,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,chronic_absenteeism_rate,Sch_Div
Galax Elementary,Galax City Public Schools,96,604,15.89,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,85,363,23.42,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,43,313,13.74,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,20,143,13.99,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,58,240,24.17,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,307,768,39.97,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,54,111,48.65,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,75,252,29.76,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,51,205,24.88,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,52,276,18.84,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,66,260,25.38,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,70,227,30.84,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,99,299,33.11,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,88,420,20.95,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,140,872,16.06,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,48,378,12.7,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,73,379,19.26,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,295,1244,23.71,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,50,399,12.53,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,42,349,12.03,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,81,449,18.04,West Point Middle/High West Point Public Schools
Millboro Elementary,Bath County Public Schools,24,132,18.18,Millboro Elementary Bath County Public Schools
Bath County High,Bath County Public Schools,32,187,17.11,Bath County High Bath County Public Schools
Valley Elementary,Bath County Public Schools,42,160,26.25,Valley Elementary Bath County Public Schools
Norton Elementary,Norton City Public Schools,86,473,18.18,Norton Elementary Norton City Public Schools
Luray Elementary,Page County Public Schools,123,419,29.36,Luray Elementary Page County Public Schools
Luray High,Page County Public Schools,154,502,30.68,Luray High Page County Public Schools
Stanley Elementary,Page County Public Schools,103,350,29.43,Stanley Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,31,192,16.15,Springfield Elementary Page County Public Schools
Page County High,Page County Public Schools,188,545,34.5,Page County High Page County Public Schools
Page County Middle,Page County Public Schools,110,370,29.73,Page County Middle Page County Public Schools
Shenandoah Elementary,Page County Public Schools,62,293,21.16,Shenandoah Elementary Page County Public Schools
Luray Middle,Page County Public Schools,116,344,33.72,Luray Middle Page County Public Schools
L.F. Addington Middle,Wise County Public Schools,67,456,14.69,L.F. Addington Middle Wise County Public Schools
Wise Primary,Wise County Public Schools,77,510,15.1,Wise Primary Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,41,450,9.11,J.W. Adams Combined Wise County Public Schools
Central High,Wise County Public Schools,179,668,26.8,Central High Wise County Public Schools
Coeburn Middle,Wise County Public Schools,38,303,12.54,Coeburn Middle Wise County Public Schools
Coeburn Primary,Wise County Public Schools,53,399,13.28,Coeburn Primary Wise County Public Schools
Eastside High,Wise County Public Schools,114,373,30.56,Eastside High Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,35,361,9.7,St. Paul Elementary Wise County Public Schools
Union High,Wise County Public Schools,110,559,19.68,Union High Wise County Public Schools
Union Middle,Wise County Public Schools,121,585,20.68,Union Middle Wise County Public Schools
Union Primary,Wise County Public Schools,161,742,21.7,Union Primary Wise County Public Schools
Grafton Bethel Elementary,York County Public Schools,60,620,9.68,Grafton Bethel Elementary York County Public Schools
Seaford Elementary,York County Public Schools,52,518,10.04,Seaford Elementary York County Public Schools
Dare Elementary,York County Public Schools,36,380,9.47,Dare Elementary York County Public Schools
Grafton High,York County Public Schools,162,1163,13.93,Grafton High York County Public Schools
Grafton Middle,York County Public Schools,117,886,13.21,Grafton Middle York County Public Schools
York High,York County Public Schools,197,1076,18.31,York High York County Public Schools
York River Academy,York County Public Schools,26,62,41.94,York River Academy York County Public Schools
Yorktown Elementary,York County Public Schools,84,580,14.48,Yorktown Elementary York County Public Schools
Yorktown Middle,York County Public Schools,141,641,22,Yorktown Middle York County Public Schools
Coventry Elementary,York County Public Schools,75,658,11.4,Coventry Elementary York County Public Schools
Tabb Elementary,York County Public Schools,49,636,7.7,Tabb Elementary York County Public Schools
Tabb High,York County Public Schools,133,1065,12.49,Tabb High York County Public Schools
Tabb Middle,York County Public Schools,88,888,9.91,Tabb Middle York County Public Schools
Magruder Elementary,York County Public Schools,74,609,12.15,Magruder Elementary York County Public Schools
Queens Lake Middle,York County Public Schools,79,549,14.39,Queens Lake Middle York County Public Schools
Waller Mill Elementary,York County Public Schools,38,362,10.5,Waller Mill Elementary York County Public Schools
Bruton High,York County Public Schools,115,656,17.53,Bruton High York County Public Schools
Bethel Manor Elementary,York County Public Schools,53,589,9,Bethel Manor Elementary York County Public Schools
Bland County High,Bland County Public Schools,49,372,13.17,Bland County High Bland County Public Schools
Virginia High,Bristol City Public Schools,247,626,39.46,Virginia High Bristol City Public Schools
Highland View Elementary,Bristol City Public Schools,82,181,45.3,Highland View Elementary Bristol City Public Schools
Virginia Middle,Bristol City Public Schools,177,490,36.12,Virginia Middle Bristol City Public Schools
Joseph Van Pelt Elementary,Bristol City Public Schools,114,389,29.31,Joseph Van Pelt Elementary Bristol City Public Schools
Washington-Lee Elementary,Bristol City Public Schools,56,235,23.83,Washington-Lee Elementary Bristol City Public Schools
Stonewall Jackson Elementary,Bristol City Public Schools,56,187,29.95,Stonewall Jackson Elementary Bristol City Public Schools
Craig County High,Craig County Public Schools,106,294,36.05,Craig County High Craig County Public Schools
McCleary Elementary,Craig County Public Schools,90,195,46.15,McCleary Elementary Craig County Public Schools
Essex High,Essex County Public Schools,182,501,36.33,Essex High Essex County Public Schools
Tappahannock Elementary,Essex County Public Schools,62,607,10.21,Tappahannock Elementary Essex County Public Schools
Check Elementary,Floyd County Public Schools,87,250,34.8,Check Elementary Floyd County Public Schools
Floyd County High,Floyd County Public Schools,183,743,24.63,Floyd County High Floyd County Public Schools
Floyd Elementary,Floyd County Public Schools,146,419,34.84,Floyd Elementary Floyd County Public Schools
Willis Elementary,Floyd County Public Schools,70,158,44.3,Willis Elementary Floyd County Public Schools
Indian Valley Elementary,Floyd County Public Schools,32,112,28.57,Indian Valley Elementary Floyd County Public Schools
Narrows High,Giles County Public Schools,39,438,8.9,Narrows High Giles County Public Schools
Giles High,Giles County Public Schools,123,683,18.01,Giles High Giles County Public Schools
Macy Mcclaugherty Elementary/Middle,Giles County Public Schools,109,771,14.14,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
A.W.E. Bassette Elementary,Hampton City Public Schools,106,462,22.94,A.W.E. Bassette Elementary Hampton City Public Schools
Armstrong Elementary,Hampton City Public Schools,39,268,14.55,Armstrong Elementary Hampton City Public Schools
C. Alton Lindsay Middle,Hampton City Public Schools,193,715,26.99,C. Alton Lindsay Middle Hampton City Public Schools
Hunter B. Andrews,Hampton City Public Schools,243,1031,23.57,Hunter B. Andrews Hampton City Public Schools
Francis W. Jones Magnet Middle,Hampton City Public Schools,78,616,12.66,Francis W. Jones Magnet Middle Hampton City Public Schools
Jane H. Bryan Elementary,Hampton City Public Schools,87,403,21.59,Jane H. Bryan Elementary Hampton City Public Schools
