School Name,Division Name,Dropouts,Students_in_the_Cohort,cohort_dropout_rate,Sch_Div
Galax High,Galax City Public Schools,6,83,7.23,Galax High Galax City Public Schools
Lee High,Lee County Public Schools,23,181,12.71,Lee High Lee County Public Schools
Thomas Walker High,Lee County Public Schools,2,50,4,Thomas Walker High Lee County Public Schools
Salem High,Salem City Public Schools,14,315,4.44,Salem High Salem City Public Schools
West Point Middle/High,West Point Public Schools,1,77,1.3,West Point Middle/High West Point Public Schools
Bath County High,Bath County Public Schools,1,37,2.7,Bath County High Bath County Public Schools
Luray High,Page County Public Schools,0,123,0,Luray High Page County Public Schools
Page County High,Page County Public Schools,0,159,0,Page County High Page County Public Schools
Central High,Wise County Public Schools,3,144,2.08,Central High Wise County Public Schools
Eastside High,Wise County Public Schools,6,102,5.88,Eastside High Wise County Public Schools
Union High,Wise County Public Schools,5,144,3.47,Union High Wise County Public Schools
Grafton High,York County Public Schools,6,288,2.08,Grafton High York County Public Schools
York High,York County Public Schools,0,284,0,York High York County Public Schools
York River Academy,York County Public Schools,0,18,0,York River Academy York County Public Schools
Tabb High,York County Public Schools,3,233,1.29,Tabb High York County Public Schools
Bruton High,York County Public Schools,2,151,1.32,Bruton High York County Public Schools
Bland County High,Bland County Public Schools,0,52,0,Bland County High Bland County Public Schools
Virginia High,Bristol City Public Schools,14,167,8.38,Virginia High Bristol City Public Schools
Craig County High,Craig County Public Schools,5,50,10,Craig County High Craig County Public Schools
Essex High,Essex County Public Schools,4,110,3.64,Essex High Essex County Public Schools
Floyd County High,Floyd County Public Schools,3,161,1.86,Floyd County High Floyd County Public Schools
Narrows High,Giles County Public Schools,4,63,6.35,Narrows High Giles County Public Schools
Giles High,Giles County Public Schools,6,114,5.26,Giles High Giles County Public Schools
Phoebus High,Hampton City Public Schools,0,262,0,Phoebus High Hampton City Public Schools
Bethel High,Hampton City Public Schools,3,437,0.69,Bethel High Hampton City Public Schools
Hampton High,Hampton City Public Schools,5,340,1.47,Hampton High Hampton City Public Schools
Kecoughtan High,Hampton City Public Schools,1,403,0.25,Kecoughtan High Hampton City Public Schools
Magna Vista High,Henry County Public Schools,10,264,3.79,Magna Vista High Henry County Public Schools
Bassett High,Henry County Public Schools,26,265,9.81,Bassett High Henry County Public Schools
Booker T Washington High,Norfolk City Public Schools,22,219,10.05,Booker T Washington High Norfolk City Public Schools
Norview High,Norfolk City Public Schools,28,453,6.18,Norview High Norfolk City Public Schools
Granby High,Norfolk City Public Schools,76,520,14.62,Granby High Norfolk City Public Schools
Radford High,Radford City Public Schools,7,271,2.58,Radford High Radford City Public Schools
Patrick Henry High,Roanoke City Public Schools,44,541,8.13,Patrick Henry High Roanoke City Public Schools
William Fleming High,Roanoke City Public Schools,71,460,15.43,William Fleming High Roanoke City Public Schools
