School,Division,Diplomas,GEDs,Certificates_of_Completion,Still_Enrolled,Graduation_Completion_Index,Sch_Div
Galax High,Galax City Public Schools,73,2,0,2,91.4,Galax High Galax City Public Schools
Lee High,Lee County Public Schools,158,1,0,2,84.3,Lee High Lee County Public Schools
Thomas Walker High,Lee County Public Schools,47,2,0,0,89.8,Thomas Walker High Lee County Public Schools
Salem High,Salem City Public Schools,298,1,0,3,94.9,Salem High Salem City Public Schools
West Point Middle/High,West Point Public Schools,71,2,0,3,96.9,West Point Middle/High West Point Public Schools
Bath County High,Bath County Public Schools,36,0,0,0,97.3,Bath County High Bath County Public Schools
Luray High,Page County Public Schools,124,0,0,0,98.4,Luray High Page County Public Schools
Page County High,Page County Public Schools,159,1,0,0,99.2,Page County High Page County Public Schools
Central High,Wise County Public Schools,141,0,0,0,97.9,Central High Wise County Public Schools
Eastside High,Wise County Public Schools,96,0,0,0,94.1,Eastside High Wise County Public Schools
Union High,Wise County Public Schools,140,0,0,0,95.9,Union High Wise County Public Schools
Grafton High,York County Public Schools,281,0,0,1,97.1,Grafton High York County Public Schools
York High,York County Public Schools,280,0,0,2,98.4,York High York County Public Schools
York River Academy,York County Public Schools,17,0,0,1,98.3,York River Academy York County Public Schools
Tabb High,York County Public Schools,228,1,0,3,98.2,Tabb High York County Public Schools
Bruton High,York County Public Schools,149,1,0,0,97.2,Bruton High York County Public Schools
Bland County High,Bland County Public Schools,51,0,0,1,99.4,Bland County High Bland County Public Schools
Virginia High,Bristol City Public Schools,149,1,0,3,84.4,Virginia High Bristol City Public Schools
Craig County High,Craig County Public Schools,43,1,0,2,80.6,Craig County High Craig County Public Schools
Essex High,Essex County Public Schools,103,0,0,0,93.6,Essex High Essex County Public Schools
Floyd County High,Floyd County Public Schools,160,1,0,1,97.8,Floyd County High Floyd County Public Schools
Narrows High,Giles County Public Schools,56,1,0,0,87.3,Narrows High Giles County Public Schools
Giles High,Giles County Public Schools,106,1,0,3,93.8,Giles High Giles County Public Schools
Phoebus High,Hampton City Public Schools,262,0,0,4,95.9,Phoebus High Hampton City Public Schools
Bethel High,Hampton City Public Schools,433,2,0,3,98.3,Bethel High Hampton City Public Schools
