School,Division,Degree_Percent,Degree_Type,Sch_Div
Galax Elementary,Galax City Public Schools,50,Bachelor's Degree,Galax Elementary Galax City Public Schools
Galax Elementary,Galax City Public Schools,45,Master's Degree,Galax Elementary Galax City Public Schools
Galax Elementary,Galax City Public Schools,2,Doctoral Degree,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,38,Bachelor's Degree,Galax High Galax City Public Schools
Galax High,Galax City Public Schools,55,Master's Degree,Galax High Galax City Public Schools
Galax High,Galax City Public Schools,0,Doctoral Degree,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,53,Bachelor's Degree,Galax Middle Galax City Public Schools
Galax Middle,Galax City Public Schools,40,Master's Degree,Galax Middle Galax City Public Schools
Galax Middle,Galax City Public Schools,5,Doctoral Degree,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,60,Bachelor's Degree,Elydale Middle Lee County Public Schools
Elydale Middle,Lee County Public Schools,27,Master's Degree,Elydale Middle Lee County Public Schools
Elydale Middle,Lee County Public Schools,0,Doctoral Degree,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,68,Bachelor's Degree,Jonesville Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,29,Master's Degree,Jonesville Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,0,Doctoral Degree,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,50,Bachelor's Degree,Lee High Lee County Public Schools
Lee High,Lee County Public Schools,35,Master's Degree,Lee High Lee County Public Schools
Lee High,Lee County Public Schools,3,Doctoral Degree,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,58,Bachelor's Degree,St. Charles Elementary Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,42,Master's Degree,St. Charles Elementary Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,0,Doctoral Degree,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,63,Bachelor's Degree,Elk Knob Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,37,Master's Degree,Elk Knob Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,0,Doctoral Degree,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,50,Bachelor's Degree,Rose Hill Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,50,Master's Degree,Rose Hill Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,0,Doctoral Degree,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,63,Bachelor's Degree,Thomas Walker High Lee County Public Schools
Thomas Walker High,Lee County Public Schools,26,Master's Degree,Thomas Walker High Lee County Public Schools
Thomas Walker High,Lee County Public Schools,0,Doctoral Degree,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,61,Bachelor's Degree,Flatwoods Elementary Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,36,Master's Degree,Flatwoods Elementary Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,0,Doctoral Degree,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,50,Bachelor's Degree,Dryden Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,47,Master's Degree,Dryden Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,0,Doctoral Degree,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,57,Bachelor's Degree,Pennington Middle Lee County Public Schools
Pennington Middle,Lee County Public Schools,34,Master's Degree,Pennington Middle Lee County Public Schools
Pennington Middle,Lee County Public Schools,2,Doctoral Degree,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,38,Bachelor's Degree,G.W. Carver Elementary Salem City Public Schools
G.W. Carver Elementary,Salem City Public Schools,63,Master's Degree,G.W. Carver Elementary Salem City Public Schools
G.W. Carver Elementary,Salem City Public Schools,0,Doctoral Degree,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,45,Bachelor's Degree,Andrew Lewis Middle Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,51,Master's Degree,Andrew Lewis Middle Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,1,Doctoral Degree,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,35,Bachelor's Degree,South Salem Elementary Salem City Public Schools
South Salem Elementary,Salem City Public Schools,59,Master's Degree,South Salem Elementary Salem City Public Schools
South Salem Elementary,Salem City Public Schools,0,Doctoral Degree,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,44,Bachelor's Degree,East Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,53,Master's Degree,East Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,0,Doctoral Degree,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,31,Bachelor's Degree,Salem High Salem City Public Schools
Salem High,Salem City Public Schools,62,Master's Degree,Salem High Salem City Public Schools
Salem High,Salem City Public Schools,1,Doctoral Degree,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,33,Bachelor's Degree,West Salem Elementary Salem City Public Schools
West Salem Elementary,Salem City Public Schools,67,Master's Degree,West Salem Elementary Salem City Public Schools
West Salem Elementary,Salem City Public Schools,0,Doctoral Degree,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,48,Bachelor's Degree,West Point Elementary West Point Public Schools
West Point Elementary,West Point Public Schools,52,Master's Degree,West Point Elementary West Point Public Schools
West Point Elementary,West Point Public Schools,0,Doctoral Degree,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,45,Bachelor's Degree,West Point Middle/High West Point Public Schools
West Point Middle/High,West Point Public Schools,48,Master's Degree,West Point Middle/High West Point Public Schools
West Point Middle/High,West Point Public Schools,2,Doctoral Degree,West Point Middle/High West Point Public Schools
Millboro Elementary,Bath County Public Schools,63,Bachelor's Degree,Millboro Elementary Bath County Public Schools
Millboro Elementary,Bath County Public Schools,37,Master's Degree,Millboro Elementary Bath County Public Schools
Millboro Elementary,Bath County Public Schools,0,Doctoral Degree,Millboro Elementary Bath County Public Schools
Bath County High,Bath County Public Schools,32,Bachelor's Degree,Bath County High Bath County Public Schools
Bath County High,Bath County Public Schools,54,Master's Degree,Bath County High Bath County Public Schools
Bath County High,Bath County Public Schools,4,Doctoral Degree,Bath County High Bath County Public Schools
Valley Elementary,Bath County Public Schools,57,Bachelor's Degree,Valley Elementary Bath County Public Schools
Valley Elementary,Bath County Public Schools,43,Master's Degree,Valley Elementary Bath County Public Schools
Valley Elementary,Bath County Public Schools,0,Doctoral Degree,Valley Elementary Bath County Public Schools
Norton Elementary,Norton City Public Schools,65,Bachelor's Degree,Norton Elementary Norton City Public Schools
Norton Elementary,Norton City Public Schools,26,Master's Degree,Norton Elementary Norton City Public Schools
Norton Elementary,Norton City Public Schools,5,Doctoral Degree,Norton Elementary Norton City Public Schools
Luray Elementary,Page County Public Schools,55,Bachelor's Degree,Luray Elementary Page County Public Schools
Luray Elementary,Page County Public Schools,40,Master's Degree,Luray Elementary Page County Public Schools
Luray Elementary,Page County Public Schools,0,Doctoral Degree,Luray Elementary Page County Public Schools
Luray High,Page County Public Schools,48,Bachelor's Degree,Luray High Page County Public Schools
Luray High,Page County Public Schools,46,Master's Degree,Luray High Page County Public Schools
Luray High,Page County Public Schools,2,Doctoral Degree,Luray High Page County Public Schools
Stanley Elementary,Page County Public Schools,63,Bachelor's Degree,Stanley Elementary Page County Public Schools
Stanley Elementary,Page County Public Schools,38,Master's Degree,Stanley Elementary Page County Public Schools
Stanley Elementary,Page County Public Schools,0,Doctoral Degree,Stanley Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,38,Bachelor's Degree,Springfield Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,63,Master's Degree,Springfield Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,0,Doctoral Degree,Springfield Elementary Page County Public Schools
Page County High,Page County Public Schools,46,Bachelor's Degree,Page County High Page County Public Schools
Page County High,Page County Public Schools,46,Master's Degree,Page County High Page County Public Schools
Page County High,Page County Public Schools,5,Doctoral Degree,Page County High Page County Public Schools
Page County Middle,Page County Public Schools,67,Bachelor's Degree,Page County Middle Page County Public Schools
Page County Middle,Page County Public Schools,33,Master's Degree,Page County Middle Page County Public Schools
Page County Middle,Page County Public Schools,0,Doctoral Degree,Page County Middle Page County Public Schools
Shenandoah Elementary,Page County Public Schools,71,Bachelor's Degree,Shenandoah Elementary Page County Public Schools
Shenandoah Elementary,Page County Public Schools,26,Master's Degree,Shenandoah Elementary Page County Public Schools
Shenandoah Elementary,Page County Public Schools,0,Doctoral Degree,Shenandoah Elementary Page County Public Schools
Luray Middle,Page County Public Schools,55,Bachelor's Degree,Luray Middle Page County Public Schools
Luray Middle,Page County Public Schools,39,Master's Degree,Luray Middle Page County Public Schools
Luray Middle,Page County Public Schools,4,Doctoral Degree,Luray Middle Page County Public Schools
L.F. Addington Middle,Wise County Public Schools,69,Bachelor's Degree,L.F. Addington Middle Wise County Public Schools
L.F. Addington Middle,Wise County Public Schools,25,Master's Degree,L.F. Addington Middle Wise County Public Schools
L.F. Addington Middle,Wise County Public Schools,3,Doctoral Degree,L.F. Addington Middle Wise County Public Schools
Wise Primary,Wise County Public Schools,56,Bachelor's Degree,Wise Primary Wise County Public Schools
Wise Primary,Wise County Public Schools,42,Master's Degree,Wise Primary Wise County Public Schools
Wise Primary,Wise County Public Schools,3,Doctoral Degree,Wise Primary Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,63,Bachelor's Degree,J.W. Adams Combined Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,33,Master's Degree,J.W. Adams Combined Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,3,Doctoral Degree,J.W. Adams Combined Wise County Public Schools
Central High,Wise County Public Schools,58,Bachelor's Degree,Central High Wise County Public Schools
Central High,Wise County Public Schools,42,Master's Degree,Central High Wise County Public Schools
Central High,Wise County Public Schools,0,Doctoral Degree,Central High Wise County Public Schools
Coeburn Middle,Wise County Public Schools,55,Bachelor's Degree,Coeburn Middle Wise County Public Schools
Coeburn Middle,Wise County Public Schools,40,Master's Degree,Coeburn Middle Wise County Public Schools
Coeburn Middle,Wise County Public Schools,0,Doctoral Degree,Coeburn Middle Wise County Public Schools
Coeburn Primary,Wise County Public Schools,73,Bachelor's Degree,Coeburn Primary Wise County Public Schools
Coeburn Primary,Wise County Public Schools,22,Master's Degree,Coeburn Primary Wise County Public Schools
Coeburn Primary,Wise County Public Schools,4,Doctoral Degree,Coeburn Primary Wise County Public Schools
Eastside High,Wise County Public Schools,48,Bachelor's Degree,Eastside High Wise County Public Schools
Eastside High,Wise County Public Schools,48,Master's Degree,Eastside High Wise County Public Schools
Eastside High,Wise County Public Schools,0,Doctoral Degree,Eastside High Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,71,Bachelor's Degree,St. Paul Elementary Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,25,Master's Degree,St. Paul Elementary Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,3,Doctoral Degree,St. Paul Elementary Wise County Public Schools
Union High,Wise County Public Schools,61,Bachelor's Degree,Union High Wise County Public Schools
Union High,Wise County Public Schools,32,Master's Degree,Union High Wise County Public Schools
Union High,Wise County Public Schools,0,Doctoral Degree,Union High Wise County Public Schools
Union Middle,Wise County Public Schools,55,Bachelor's Degree,Union Middle Wise County Public Schools
Union Middle,Wise County Public Schools,45,Master's Degree,Union Middle Wise County Public Schools
Union Middle,Wise County Public Schools,0,Doctoral Degree,Union Middle Wise County Public Schools
Union Primary,Wise County Public Schools,71,Bachelor's Degree,Union Primary Wise County Public Schools
Union Primary,Wise County Public Schools,25,Master's Degree,Union Primary Wise County Public Schools
