School,Division,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Sch_Div
Galax Elementary,Galax City Public Schools,Medium Poverty,Title I,7,1.8,0,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,Medium Poverty,Non-Title I,7.5,12.5,5,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,Medium Poverty,Non-Title I,13.2,7.9,5.3,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,High Poverty,Title I,14.3,14.3,7.1,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,High Poverty,Title I,3.7,3.7,0,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,High Poverty,Non-Title I,5.6,14,5.6,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,High Poverty,Title I,5.6,5.6,0,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,High Poverty,Title I,0,0,0,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,High Poverty,Title I,0,4.3,0,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,High Poverty,Non-Title I,2.9,14.3,0,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,High Poverty,Title I,0,3.1,0,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,High Poverty,Title I,0,6.9,0,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,High Poverty,Title I,2.4,2.4,0,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,Medium Poverty,Title I,0,0,0,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,Medium Poverty,Non-Title I,0,2.9,0,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,Medium Poverty,Non-Title I,3.2,3.2,3.2,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,Medium Poverty,Title I,7.5,5,5,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,Medium Poverty,Non-Title I,2.8,10.3,2.8,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,Low Poverty,Non-Title I,0,2.9,0,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,Medium Poverty,Title I,0,0,0,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,Low Poverty,Non-Title I,7.3,24.4,7.3,West Point Middle/High West Point Public Schools
Millboro Elementary,Bath County Public Schools,Medium Poverty,Title I,0,5.6,0,Millboro Elementary Bath County Public Schools
Bath County High,Bath County Public Schools,Medium Poverty,Non-Title I,7.4,0,0,Bath County High Bath County Public Schools
Valley Elementary,Bath County Public Schools,Medium Poverty,Title I,4.5,0,0,Valley Elementary Bath County Public Schools
Norton Elementary,Norton City Public Schools,High Poverty,Title I,7.1,16.7,2.4,Norton Elementary Norton City Public Schools
Luray Elementary,Page County Public Schools,Medium Poverty,Title I,23.1,0,0,Luray Elementary Page County Public Schools
Luray High,Page County Public Schools,Medium Poverty,Non-Title I,12.2,4.1,0,Luray High Page County Public Schools
Stanley Elementary,Page County Public Schools,Medium Poverty,Title I,6.7,3.3,0,Stanley Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,Medium Poverty,Title I,4.5,9.1,0,Springfield Elementary Page County Public Schools
Page County High,Page County Public Schools,Medium Poverty,Non-Title I,7.9,6.3,0,Page County High Page County Public Schools
Page County Middle,Page County Public Schools,Medium Poverty,Non-Title I,2.4,4.9,0,Page County Middle Page County Public Schools
Shenandoah Elementary,Page County Public Schools,Medium Poverty,Title I,15.2,9.1,0,Shenandoah Elementary Page County Public Schools
Luray Middle,Page County Public Schools,Medium Poverty,Non-Title I,4.2,10.4,0,Luray Middle Page County Public Schools
L.F. Addington Middle,Wise County Public Schools,Medium Poverty,Non-Title I,8.5,0,0,L.F. Addington Middle Wise County Public Schools
Wise Primary,Wise County Public Schools,High Poverty,Title I,4.3,0,0,Wise Primary Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,High Poverty,Title I,9.9,0,0,J.W. Adams Combined Wise County Public Schools
Central High,Wise County Public Schools,Medium Poverty,Non-Title I,3.3,0,0,Central High Wise County Public Schools
Coeburn Middle,Wise County Public Schools,High Poverty,Non-Title I,4.4,0,0,Coeburn Middle Wise County Public Schools
Coeburn Primary,Wise County Public Schools,High Poverty,Title I,1.9,0,0,Coeburn Primary Wise County Public Schools
Eastside High,Wise County Public Schools,Medium Poverty,Non-Title I,0,0,0,Eastside High Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,High Poverty,Title I,10.3,2.9,1.5,St. Paul Elementary Wise County Public Schools
Union High,Wise County Public Schools,High Poverty,Non-Title I,1.8,1.8,0,Union High Wise County Public Schools
Union Middle,Wise County Public Schools,High Poverty,Non-Title I,3.1,0,0,Union Middle Wise County Public Schools
Union Primary,Wise County Public Schools,High Poverty,Title I,4,0,0,Union Primary Wise County Public Schools
Grafton Bethel Elementary,York County Public Schools,Low Poverty,Non-Title I,0,0,0,Grafton Bethel Elementary York County Public Schools
Seaford Elementary,York County Public Schools,Low Poverty,Non-Title I,5.9,0,0,Seaford Elementary York County Public Schools
Dare Elementary,York County Public Schools,Low Poverty,Non-Title I,2.9,0,0,Dare Elementary York County Public Schools
Grafton High,York County Public Schools,Low Poverty,Non-Title I,0,2.1,0,Grafton High York County Public Schools
York High,York County Public Schools,Low Poverty,Non-Title I,2,0,0,York High York County Public Schools
Yorktown Elementary,York County Public Schools,Medium Poverty,Title I,0,0,0,Yorktown Elementary York County Public Schools
Yorktown Middle,York County Public Schools,Low Poverty,Non-Title I,2,5.9,2,Yorktown Middle York County Public Schools
Coventry Elementary,York County Public Schools,Low Poverty,Non-Title I,0,0,0,Coventry Elementary York County Public Schools
Tabb Elementary,York County Public Schools,Low Poverty,Non-Title I,4.4,0,0,Tabb Elementary York County Public Schools
Tabb High,York County Public Schools,Low Poverty,Non-Title I,4.3,0,0,Tabb High York County Public Schools
Tabb Middle,York County Public Schools,Low Poverty,Non-Title I,6.3,7.9,0,Tabb Middle York County Public Schools
Magruder Elementary,York County Public Schools,Medium Poverty,Title I,0,0,0,Magruder Elementary York County Public Schools
Queens Lake Middle,York County Public Schools,Low Poverty,Non-Title I,6,10,0,Queens Lake Middle York County Public Schools
Waller Mill Elementary,York County Public Schools,Low Poverty,Non-Title I,7.4,3.7,0,Waller Mill Elementary York County Public Schools
Bruton High,York County Public Schools,Low Poverty,Non-Title I,9.1,1.5,0,Bruton High York County Public Schools
Bethel Manor Elementary,York County Public Schools,Medium Poverty,Title I,6,0,0,Bethel Manor Elementary York County Public Schools
Bland County High,Bland County Public Schools,Medium Poverty,Non-Title I,2.7,5.4,2.7,Bland County High Bland County Public Schools
Virginia High,Bristol City Public Schools,High Poverty,Non-Title I,0,9,0,Virginia High Bristol City Public Schools
Highland View Elementary,Bristol City Public Schools,High Poverty,Title I,0,15,0,Highland View Elementary Bristol City Public Schools
Virginia Middle,Bristol City Public Schools,High Poverty,Title I,0,3.1,0,Virginia Middle Bristol City Public Schools
