School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Galax Elementary,Galax City Public Schools,Medium Poverty,Title I,10.5,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,Medium Poverty,Non-Title I,10,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,Medium Poverty,Non-Title I,10.5,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,High Poverty,Title I,14.3,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,High Poverty,Title I,3.7,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,High Poverty,Non-Title I,6.5,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,High Poverty,Title I,11.1,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,High Poverty,Title I,0,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,High Poverty,Title I,0,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,High Poverty,Non-Title I,8.6,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,High Poverty,Title I,0,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,High Poverty,Title I,0,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,High Poverty,Title I,0,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,Medium Poverty,Title I,8.1,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,Medium Poverty,Non-Title I,4.4,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,Medium Poverty,Non-Title I,3.2,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,Medium Poverty,Title I,10,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,Medium Poverty,Non-Title I,3.7,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,Low Poverty,Non-Title I,5.7,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,Medium Poverty,Title I,0,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,Low Poverty,Non-Title I,2.4,West Point Middle/High West Point Public Schools
Millboro Elementary,Bath County Public Schools,Medium Poverty,Title I,11.1,Millboro Elementary Bath County Public Schools
Bath County High,Bath County Public Schools,Medium Poverty,Non-Title I,18.5,Bath County High Bath County Public Schools
Valley Elementary,Bath County Public Schools,Medium Poverty,Title I,9.1,Valley Elementary Bath County Public Schools
Norton Elementary,Norton City Public Schools,High Poverty,Title I,7.1,Norton Elementary Norton City Public Schools
Luray Elementary,Page County Public Schools,Medium Poverty,Title I,10.3,Luray Elementary Page County Public Schools
Luray High,Page County Public Schools,Medium Poverty,Non-Title I,10.2,Luray High Page County Public Schools
Stanley Elementary,Page County Public Schools,Medium Poverty,Title I,3.3,Stanley Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,Medium Poverty,Title I,0,Springfield Elementary Page County Public Schools
