Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent,SOL Pass Rate,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures
Prince William County,A. Henderson Elementary,0.2741116751269035,0.1375321336760925,0.0025380710659898,0.5228426395939086,0.0,0.1243654822335025,0.1205583756345177,0.258,0.1081,,35.0,62.0,2.0,0.765,524.0,7333.0,571.0,3640.0,12068.0,9941898.0
Culpeper County,A.G. Richardson Elementary,0.3819188191881918,0.0538033395176252,0.0,0.496309963099631,0.0,0.025830258302583,0.1697416974169741,0.405,0.2736,,44.0,56.0,0.0,0.6975,198.0,9208.0,745.0,2110.0,12261.0,14493019.0
Chesterfield County,A.M. Davis Elementary,0.5421348314606742,0.1948424068767908,0.0028089887640449,0.5028089887640449,0.0,0.0070224719101123,0.1418539325842696,0.609,0.1985,,31.0,69.0,0.0,0.53,879.0,8338.0,543.0,4412.0,14172.0,6946661.0
Warren County,A.S. Rhodes Elementary,0.3582089552238806,0.0524344569288389,0.003731343283582,0.5261194029850746,0.0,0.0149253731343283,0.0559701492537313,0.373,0.2289,,52.0,44.0,0.0,0.72,861.0,8633.0,45.0,2983.0,12522.0,5874488.0
Hampton City,A.W.E. Bassette Elementary,0.6,0.0,0.0,0.4946236559139785,0.0,0.0709677419354838,0.0946236559139784,0.911,0.2294,,58.0,32.0,3.0,0.5175,1540.0,6746.0,446.0,2738.0,11470.0,5366257.0
Tazewell County,Abb's Valley-Boissevain Elementary,0.5897435897435898,0.0,0.0,0.5064102564102564,0.0,0.0064102564102564,0.1474358974358974,0.946,0.296,,60.0,33.0,0.0,0.67,85.0,6577.0,587.0,2979.0,10228.0,5199480.0
Hampton City,Aberdeen Elementary,0.5430861723446894,0.0,0.0,0.4849699398797595,0.0,0.0801603206412825,0.1222444889779559,0.911,0.2257999999999999,,55.0,32.0,3.0,0.565,1154.0,7056.0,446.0,2738.0,11395.0,5788445.0
Arlington County,Abingdon Elementary,0.4518413597733711,0.3892128279883382,0.0,0.5609065155807366,0.0,0.0226628895184136,0.1161473087818696,0.445,0.1167,,30.0,65.0,0.0,0.56,42.0,13126.0,968.0,7589.0,21725.0,9397347.0
Gloucester County,Abingdon Elementary,0.4439560439560439,0.0,0.0,0.4967032967032967,0.0,0.1472527472527472,0.1384615384615384,0.461,0.1556,,40.0,57.0,0.0,0.7175,1220.0,7353.0,283.0,4322.0,13179.0,5590134.0
Washington County,Abingdon Elementary,0.3287981859410431,0.0,0.0113378684807256,0.5351473922902494,0.0,0.0158730158730158,0.1564625850340136,0.424,0.1359,,55.0,45.0,0.0,0.855,317.0,7124.0,656.0,3308.0,11405.0,7373071.0
Washington County,Abingdon High,0.3797909407665505,0.0,0.0092915214866434,0.4878048780487805,0.0,0.0058072009291521,0.1742160278745644,0.382,0.2528,0.0636,44.0,49.0,2.0,0.7475,997.0,9573.0,656.0,3308.0,14534.0,4056454.0
Norfolk City,Academy for Discovery at Lakewood,0.2559109874826147,0.0,0.0,0.4784422809457579,0.0,0.1933240611961057,0.0917941585535466,0.327,0.0424,,46.0,51.0,0.0,0.8,1845.0,9730.0,645.0,3545.0,15764.0,6150038.0
Accomack County,Accawmacke Elementary,0.4852941176470588,0.2642487046632124,0.0024509803921568,0.5049019607843137,0.0931372549019607,0.0024509803921568,0.1029411764705882,0.911,0.1707,,42.0,53.0,0.0,0.6925,1193.0,18366.0,588.0,3206.0,23353.0,1067465.0
Newport News City,Achievable Dream Academy,0.7624584717607974,0.0249584026622296,0.0,0.4933554817275747,0.0,0.0332225913621262,0.0697674418604651,0.765,0.3301,,44.0,40.0,0.0,0.555,683.0,8286.0,1313.0,3686.0,13968.0,7680847.0
Newport News City,Achievable Dream Middle/High,0.7029702970297029,0.0,0.0,0.4217821782178217,0.0,0.0316831683168316,0.0554455445544554,,,,,,,,,,,,,
Gloucester County,Achilles Elementary,0.3837209302325581,0.0,0.0,0.4627906976744186,0.0,0.1697674418604651,0.1674418604651162,0.461,0.1348,,36.0,62.0,0.0,0.7325,1383.0,7081.0,283.0,4322.0,13069.0,6456196.0
King William County,Acquinton Elementary,0.3576470588235294,0.0,0.0,0.5035294117647059,0.0,0.0329411764705882,0.108235294117647,0.287,0.1148,,59.0,38.0,0.0,0.8125,35.0,8708.0,148.0,3441.0,12332.0,5763903.0
Roanoke City,Addison Aerospace Magnet Middle,0.7316239316239316,0.032258064516129,0.0034188034188034,0.5213675213675214,0.017094017094017,0.0,0.2153846153846154,1.0,0.3443,,44.0,40.0,3.0,0.32799999999999996,1603.0,7787.0,796.0,3859.0,14045.0,5293261.0
Frederick County,Admiral Richard E. Byrd Middle,0.3808933002481389,0.0545938748335552,0.0,0.533498759305211,0.0,0.0074441687344913,0.1364764267990074,0.294,0.1876,,40.0,56.0,3.0,0.672,430.0,8296.0,136.0,2885.0,11747.0,6993073.0
Albemarle County,Agnor-Hurt Elementary,0.4978070175438596,0.2410714285714285,0.0,0.5362637362637362,0.0,0.0263157894736842,0.1096491228070175,0.532,0.2145,,40.0,52.0,4.0,0.6325,2.0,14337.0,471.0,3799.0,18609.0,3495833.0
Virginia Beach City,Alanton Elementary,0.49,0.0385259631490787,0.0,0.5008347245409015,0.0,0.145,0.125,0.389,0.2047,,44.0,54.0,2.0,0.7575,1483.0,12256.0,0.0,0.0,13739.0,7126106.0
Albemarle County,Albemarle High,1.0,1.0,1.0,0.5133159268929504,1.0,1.0,1.0,0.292,0.1945,0.0478,32.0,65.0,1.0,0.62,521.0,12054.0,471.0,3799.0,16845.0,4462120.0
Martinsville City,Albert Harris Elementary,0.8337468982630273,0.1326530612244898,0.0049627791563275,0.5384615384615384,0.0,0.0,0.141439205955335,1.0,0.3885,,56.0,34.0,2.0,0.3875,896.0,8866.0,809.0,4171.0,14741.0,5907735.0
Richmond City,Albert Hill Middle,0.5211581291759465,0.0,0.0,0.534521158129176,0.0311804008908685,0.0022271714922048,0.1870824053452116,1.0,0.2528,,38.0,53.0,2.0,0.486,1275.0,10264.0,3624.0,5962.0,21125.0,5769046.0
Hampton City,Albert W. Patrick III Elementary,0.5994897959183674,0.0,0.0051020408163265,0.5306122448979592,0.0,0.0918367346938775,0.1377551020408163,0.91,0.1389,,58.0,38.0,0.0,0.59,581.0,9382.0,446.0,2738.0,13147.0,17501512.0
Chesterfield County,Alberta Smith Elementary,0.2535885167464115,0.0304487179487179,0.0015948963317384,0.4864433811802233,0.0,0.0414673046251993,0.1515151515151515,0.223,0.0837,,48.0,50.0,0.0,0.855,52.0,6497.0,543.0,4412.0,11504.0,7238387.0
Loudoun County,Aldie Elementary,0.1711711711711711,0.1759259259259259,0.0,0.4954954954954955,0.0,0.036036036036036,0.1351351351351351,0.133,0.0571,,17.0,77.0,0.0,0.8675,398.0,14385.0,13.0,2246.0,17042.0,16406842.0
Fairfax County,Aldrin Elementary,0.1650099403578528,0.1933471933471933,0.0,0.5268389662027833,0.0,0.0178926441351888,0.2127236580516898,0.154,0.1394999999999999,,27.0,70.0,2.0,0.82,994.0,13068.0,694.0,6054.0,20811.0,9132915.0
Alexandria City,Alexandria City High,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
Alexandria City,Alexandria City High School,,,,,,,,0.601,0.1277,0.0876,23.0,70.0,1.0,0.546,0.0,13037.0,945.0,4703.0,18684.0,10670943.0
Hampton City,Alfred S. Forrest Elementary,0.5305719921104537,0.0,0.0,0.4950690335305719,0.0,0.0749506903353057,0.0690335305719921,0.608,0.2286,,47.0,53.0,0.0,0.635,538.0,8226.0,446.0,2738.0,11948.0,21271995.0
Loudoun County,Algonkian Elementary,0.1553610503282275,0.1199095022624434,0.0,0.5448577680525164,0.0,0.0218818380743982,0.1859956236323851,0.11,0.0791,,25.0,72.0,2.0,0.765,355.0,17822.0,13.0,2246.0,20435.0,31674570.0
Arlington County,Alice West Fleet Elementary,0.3886986301369863,0.3188405797101449,0.0,0.5154109589041096,0.0,0.1232876712328767,0.1352739726027397,0.299,0.0465,,26.0,69.0,4.0,0.7825,1140.0,15036.0,968.0,7589.0,24733.0,13559878.0
Alleghany County,Alleghany High,0.3762886597938144,0.0,0.0051546391752577,0.5756013745704467,0.0,0.0,0.1460481099656357,,,,,,,,,,,,,
Alleghany Highlands,Alleghany High,,,,,,,,0.411,0.3581,0.0588,51.0,47.0,0.0,0.63,1361.0,7672.0,335.0,3610.0,12978.0,3570088.0
Campbell County,Altavista Elementary,0.5979591836734693,0.0,0.0,0.4979591836734693,0.0,0.0,0.0959183673469387,0.624,0.136,,53.0,44.0,0.0,0.705,1103.0,6754.0,248.0,3380.0,11485.0,8509307.0
Campbell County,Altavista High,0.4814814814814814,0.0,0.0014245014245014,0.50997150997151,0.0,0.0,0.141025641025641,0.5,0.2446,0.113,53.0,45.0,0.0,0.564,1136.0,6935.0,654.0,3352.0,12076.0,5938358.0
Amelia County,Amelia County Elementary,0.5168690958164642,0.039348710990502,0.0067476383265856,0.5425101214574899,0.0,0.0107962213225371,0.1106612685560054,0.574,0.2211,,53.0,45.0,2.0,0.5275,973.0,6495.0,340.0,3926.0,11733.0,8640472.0
Amelia County,Amelia County High,0.4077079107505071,0.0,0.0040567951318458,0.486815415821501,0.0,0.0365111561866125,0.1338742393509127,0.4479999999999999,0.2121,0.0174,56.0,38.0,4.0,0.6625,252.0,7984.0,340.0,3926.0,12501.0,6090345.0
Amelia County,Amelia County Middle,0.516209476309227,0.0353535353535353,0.0049875311720698,0.4887780548628428,0.0,0.0249376558603491,0.1197007481296758,0.564,0.215,,49.0,47.0,4.0,0.594,123.0,7827.0,340.0,3926.0,12215.0,4911321.0
Richmond City,Amelia Street Special Education,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.5517,,60.0,20.0,20.0,0.07,53.0,11410.0,3624.0,5962.0,21049.0,4270160.0
Amherst County,Amelon Elementary,0.5184331797235023,0.0,0.0092165898617511,0.5668202764976958,0.0,0.0046082949308755,0.1474654377880184,0.53,0.1931,,45.0,52.0,0.0,0.5525,1551.0,7210.0,329.0,3183.0,12273.0,5314523.0
Amherst County,Amherst County High,0.5373870172555464,,1.0,0.5110928512736237,,1.0,1.0,0.414,0.4382,0.052,45.0,47.0,2.0,0.622,631.0,8592.0,329.0,3183.0,12735.0,15223809.0
Amherst County,Amherst Elementary,0.4506437768240343,0.0,0.0085836909871244,0.5107296137339056,0.0,0.0128755364806866,0.1287553648068669,0.46,0.2227,,42.0,48.0,0.0,0.7775,1310.0,9429.0,329.0,3183.0,14251.0,3327421.0
Amherst County,Amherst Middle,0.5582010582010583,0.0,0.0026455026455026,0.455026455026455,0.0,0.0211640211640211,0.1296296296296296,0.477,0.2237,,59.0,39.0,0.0,0.644,304.0,8642.0,329.0,3183.0,12458.0,4618042.0
Stafford County,Andrew G. Wright Middle,0.2559188275084554,0.0457354758961681,0.0011273957158962,0.5158013544018059,0.0,0.0394588500563697,0.1228861330326944,0.291,0.1219,,33.0,56.0,0.0,0.602,411.0,8237.0,237.0,3487.0,12372.0,11166721.0
Salem City,Andrew Lewis Middle,0.42728297632469,0.0285714285714285,0.0078917700112739,0.5445321307779031,0.0,0.0067643742953776,0.161217587373168,0.405,0.1606,,45.0,51.0,1.0,0.7040000000000001,1767.0,8195.0,511.0,3657.0,14130.0,6284049.0
Fairfax County,Annandale High,0.0,1.0,1.0,,1.0,1.0,1.0,0.607,0.2683,0.0791999999999999,25.0,72.0,1.0,0.6675,1492.0,11781.0,694.0,6054.0,20022.0,14034086.0
Fairfax County,Annandale Terrace Elementary,0.7449768160741885,0.6016260162601627,0.0,0.5100463678516228,0.0,0.0030911901081916,0.1452859350850077,0.826,0.2304,,26.0,74.0,0.0,0.4233333333,1137.0,12130.0,694.0,6054.0,20015.0,10943540.0
Stafford County,Anne E. Moncure Elementary,0.5559440559440559,0.3261648745519713,0.0011655011655011,0.5198135198135199,0.0,0.0174825174825174,0.0897435897435897,0.617,0.1556,,38.0,54.0,0.0,0.52,384.0,8649.0,237.0,3487.0,12757.0,9880660.0
Stafford County,Anthony Burns Elementary,0.3735795454545454,0.1087267525035765,0.0,0.5014204545454546,0.0,0.0738636363636363,0.1264204545454545,0.423,0.1463,,47.0,45.0,0.0,0.6275,314.0,8064.0,237.0,3487.0,12101.0,22732935.0
Henrico County,Anthony P. Mehfoud Elementary,0.5325077399380805,0.0,0.0030959752321981,0.5294117647058824,0.0,0.0247678018575851,0.1671826625386996,,,,,,,,,,,,,
