Division Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent,SOL Pass Rate,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures
Prince William County,0.5048710072875359,0.4129571780413284,0.23618774621516472,0.5035886000060507,0.02887733251758948,0.2987263670052474,0.3217515805557499,0.4552727272727273,0.17989777777777777,0.051045454545454526,34.12222222222222,62.72222222222222,0.8555555555555555,0.6960833333333334,636.4222222222222,9095.844444444445,570.8666666666667,3654.8888888888887,13958.033333333333,12602097.677777778
Culpeper County,0.5021741843449773,0.3291727670034068,0.27353078780946277,0.5538082701331075,0.0,0.28707921939682585,0.29263974155616224,0.4939,0.31986,0.11699999999999999,50.2,45.6,1.0,0.6212,407.2,8183.6,734.6,2286.0,11611.4,9247411.1
Chesterfield County,0.5253177522236439,0.3465699174838659,0.126333729042099,0.5153269930910566,0.10809110627772879,0.3472508874429558,0.35585731051202063,0.4095806451612903,0.1843790322580645,0.07794545454545453,42.854838709677416,54.75806451612903,0.8709677419354839,0.6306129032258064,309.03225806451616,6826.467741935484,539.9516129032259,4410.177419354839,12085.741935483871,11897470.790322581
Warren County,0.45091695742869686,0.0368047934320834,0.0014738085446120222,0.5331121499528232,0.0,0.009189803921465555,0.119992789115696,0.47800000000000004,0.30914444444444444,0.0376499999999999,55.0,41.77777777777778,0.3333333333333333,0.6294444444444445,777.6666666666666,8789.0,45.0,2983.0,12594.333333333334,7285063.888888889
Hampton City,0.49552587369562673,0.1523650982587235,0.20167659683427364,0.5109478258721075,0.17430046837255606,0.2610096520458061,0.29682944675290257,0.6448518518518519,0.18037777777777778,0.006025,48.55555555555556,45.888888888888886,1.4074074074074074,0.6576666666666667,870.7777777777778,8095.481481481482,446.0,2738.0,12150.37037037037,8171980.518518519
Tazewell County,0.6028253834577114,0.0,0.0045713380655501845,0.516088978619108,0.0,0.005669569647290539,0.16226253779767377,0.648090909090909,0.30211818181818184,0.04576666666666663,58.81818181818182,38.27272727272727,0.6363636363636364,0.786909090909091,713.0909090909091,6810.363636363636,621.1818181818181,3151.4545454545455,11295.90909090909,4840346.454545454
Arlington County,0.3428024368848366,0.32202272993322045,0.11478051295847906,0.5250100094738581,0.03125,0.1806796342090784,0.24965275955866056,0.3106060606060606,0.09161470588235293,0.06789999999999992,23.735294117647058,71.91176470588235,2.0294117647058822,0.7283676470588235,290.9117647058824,12115.0,943.7941176470588,7450.588235294118,20800.647058823528,15719523.088235294
Gloucester County,0.4303052312955759,0.125,0.0013248515395846427,0.5174634989515114,0.0,0.2504803461824273,0.2564639885556246,0.41612499999999997,0.13538749999999997,0.0557,40.875,54.875,0.125,0.7240625,891.625,7757.625,325.75,4223.625,13198.875,8338293.875
Washington County,0.4449286857780104,0.0027867052864076996,0.008677194324040153,0.5167431187159468,0.004051565377532227,0.010472849874576785,0.16286966258412597,0.5889333333333333,0.20803333333333332,0.04649999999999998,50.6,46.13333333333333,0.7333333333333333,0.7897333333333333,879.8666666666667,8287.866666666667,612.2666666666667,3283.4666666666667,13063.733333333334,5148360.4
Norfolk City,0.5909766499899999,0.12227590915252301,0.07295168885659785,0.511200847724361,0.09345683878596768,0.23484177910270038,0.22842398779041714,0.7781578947368422,0.23713421052631575,0.10283333333333329,39.026315789473685,52.5,2.289473684210526,0.4983421052631579,1732.342105263158,8940.815789473685,645.0,3545.0,14862.736842105263,8626185.94736842
Accomack County,0.40798191805173895,0.1351124715235829,0.000996726002142491,0.5223488470420533,0.03506497365502327,0.016078192876315837,0.12588397375313432,0.9109999999999999,0.17384,0.04835,52.5,40.0,2.0,0.6259,815.4,9859.7,623.7,3355.7,14654.5,7531459.2
Newport News City,0.6000523672953266,0.15556730594221127,0.13253666284249827,0.5113278954217082,0.058602751599143514,0.26416365639570316,0.18494898466319637,0.7644827586206897,0.27365172413793104,0.00897999999999994,35.3448275862069,50.172413793103445,0.8275862068965517,0.472448275862069,592.2413793103449,8200.965517241379,1280.3793103448277,3699.0344827586205,13772.655172413793,10383590.931034483
King William County,0.39267980654220186,0.0,0.000367647058823525,0.5119988536004136,0.0,0.025573574533562925,0.11940869030539039,0.29466666666666663,0.15403333333333333,0.0298,55.0,41.333333333333336,0.0,0.7075,447.6666666666667,8425.333333333334,210.66666666666666,3385.6666666666665,12469.333333333334,5613058.0
Roanoke City,0.5489734520768857,0.1799795591619859,0.08803105426449613,0.5108078799951051,0.09902417380101146,0.04353662095126933,0.22799225562925454,0.9412083333333333,0.22343749999999998,0.11779999999999999,43.708333333333336,41.75,0.7916666666666666,0.496,1441.4166666666667,9005.958333333334,796.0,3859.0,15102.541666666666,8221458.625
Frederick County,0.461039206537961,0.23076670741795735,0.15917027286997829,0.5094243672369063,0.11179027438196143,0.16225033843019995,0.27250294038737394,0.3643888888888889,0.1901421052631579,0.03366666666666663,46.78947368421053,50.0,1.1578947368421053,0.6193684210526316,500.10526315789474,9882.0,151.0,2938.315789473684,13471.578947368422,9348979.789473685
Albemarle County,0.34068778606266764,0.15112276166644695,0.12659722300989054,0.5107555713141728,0.045454545454545456,0.1550926079468283,0.23668534439797387,0.3135833333333333,0.15250833333333333,0.02805,33.791666666666664,61.833333333333336,1.5833333333333333,0.6515833333333333,582.5416666666666,11755.0,491.7083333333333,3956.9166666666665,16785.916666666668,8828554.958333334
Virginia Beach City,0.5252013557420614,0.2554103796279533,0.187695593079499,0.4959161530328582,0.048424405757539486,0.37022650156450426,0.3021108912793986,0.4222469135802469,0.1730617283950617,0.02673333333333333,44.44444444444444,51.93827160493827,1.1728395061728396,0.7514691358024691,1665.1604938271605,12143.95061728395,14.209876543209877,46.888888888888886,13870.67901234568,10546048.604938272
Martinsville City,0.7314189992800494,0.0570536795312757,0.00220949272950808,0.515478341107763,0.0,0.00654960503388746,0.12314594355939609,1.0,0.27249999999999996,0.1538,59.75,35.75,1.0,0.5227499999999999,1038.25,7772.25,650.5,4091.75,13552.5,6246819.0
Richmond City,0.5932298486131516,0.1061828077050196,0.06446209751229859,0.5144739242516304,0.0686827098660512,0.06889396607151828,0.22301664827336842,1.0,0.27401190476190473,0.13386666666666666,38.642857142857146,57.0,1.9761904761904763,0.4141785714285714,644.1428571428571,12493.404761904761,3624.0,5962.0,22723.619047619046,8958393.80952381
Loudoun County,0.4262534448655982,0.3985890350464001,0.19533363931179806,0.5093179441762574,0.16351014976069278,0.350879940322328,0.3644132019568519,0.21733333333333332,0.12215529411764704,0.023,25.294117647058822,72.5764705882353,1.2117647058823529,0.757943137255294,464.3058823529412,16842.482352941177,18.823529411764707,2270.364705882353,19595.694117647057,15682485.070588235
Fairfax County,0.39198419141948077,0.3728989701611123,0.1513374326146177,0.5079397450406431,0.08191030941114201,0.23222354197511091,0.31671631153946134,0.32891052631578943,0.1525020942408377,0.06138965517241377,27.612565445026178,70.17277486910994,1.2408376963350785,0.7057041884801047,721.5392670157069,11514.429319371728,692.151832460733,6042.293193717277,18970.69109947644,16298395.036649214
Alexandria City,0.4910380586583013,0.3727292516712226,0.11785454922709825,0.5304652760952075,0.11856046766532702,0.1750639025141418,0.26426724204658514,0.5777058823529412,0.19067058823529412,0.0876,27.470588235294116,66.0,3.3529411764705883,0.5683529411764705,563.4705882352941,13726.941176470587,955.0588235294117,4679.117647058823,19924.117647058825,16958686.529411763
Alleghany County,0.4307688245076705,0.0,0.0027941415845985597,0.524183936277243,0.0,0.0032240984602056196,0.14051852371894807,,,,,,,,,,,,,
Alleghany Highlands,,,,,,,,0.5954285714285714,0.42371428571428565,0.0557,52.0,46.857142857142854,0.0,0.6472142857142857,946.2857142857143,7494.571428571428,301.14285714285717,4813.714285714285,13555.285714285714,4712947.857142857
Campbell County,0.4992669743827158,0.019376089857612855,0.001694003423993346,0.5077767810910218,0.0,0.0004679140875609583,0.13150798273946357,0.5151538461538462,0.15946923076923075,0.05115,52.53846153846154,45.15384615384615,0.15384615384615385,0.6891538461538461,863.0769230769231,6629.615384615385,622.7692307692307,3354.153846153846,11468.846153846154,7078271.0
Amelia County,0.48026216095873275,0.024900748781345766,0.005263988210167066,0.5060345307139446,0.0,0.0240816777898329,0.12141208534553129,0.5286666666666666,0.21606666666666666,0.0174,52.666666666666664,43.333333333333336,3.3333333333333335,0.5946666666666666,449.3333333333333,7435.333333333333,340.0,3926.0,12149.666666666666,6547379.333333333
Amherst County,0.541890897210496,0.0,0.11618380701649486,0.5217279676952179,0.006615579302587163,0.1190893558426187,0.23895114134243858,0.5697777777777778,0.19596666666666668,0.052,45.44444444444444,50.333333333333336,0.2222222222222222,0.5804444444444444,1138.3333333333333,8190.0,329.0,3183.0,12840.444444444445,5521259.111111111
Stafford County,0.4423844011743152,0.23912705681094037,0.15724922083632484,0.49898170648791035,0.03648016768784263,0.20441998318001559,0.2702332566183342,0.3502222222222222,0.1573892857142857,0.030774999999999976,42.25,49.82142857142857,0.9642857142857143,0.6365892857142857,425.75,8121.035714285715,249.5,3468.8571428571427,12264.57142857143,11188185.964285715
Salem City,0.4238773175161747,0.20022368635493634,0.17373362516272717,0.5212443608556022,0.0,0.1789391887292219,0.31412554193855396,0.39683333333333337,0.17535,0.0444,37.666666666666664,59.166666666666664,0.3333333333333333,0.7194166666666667,994.3333333333334,8312.833333333334,511.0,3657.0,13475.5,8356698.166666667
