Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Accomack County,Accawmacke Elementary,0.4852941176470588,0.2642487046632124,0.0024509803921568,0.5049019607843137,0.0931372549019607,0.0024509803921568,0.1029411764705882,0.911,0.1707,,42.0,53.0,0.0
Accomack County,Arcadia High,0.3828238719068413,0.1389728096676737,0.0014556040756914,0.529839883551674,0.024745269286754,0.0058224163027656,0.1295487627365356,0.911,0.2349,0.0773,47.0,39.0,4.0
Accomack County,Arcadia Middle,0.4826325411334552,0.1860465116279069,0.0,0.4789762340036563,0.0,0.0054844606946983,0.1663619744058501,,,,,,
Accomack County,Chincoteague Elementary,0.2566371681415929,0.0,0.0,0.5398230088495575,0.0619469026548672,0.1150442477876106,0.1283185840707964,0.91,0.1221,,50.0,35.0,10.0
Accomack County,Chincoteague High,0.2969924812030075,0.0,0.0,0.518796992481203,0.0,0.0300751879699248,0.131578947368421,0.912,0.1241,0.0,45.0,45.0,3.0
Accomack County,Kegotank Elementary,0.4821052631578947,0.2124463519313304,0.0,0.5178947368421053,0.0336842105263157,0.0021052631578947,0.1726315789473684,0.911,0.1674,,72.0,25.0,0.0
Accomack County,Metompkin Elementary,0.3315412186379928,0.3909774436090225,0.0017921146953405,0.5053763440860215,0.021505376344086,0.0,0.1129032258064516,0.91,0.1255,,59.0,36.0,0.0
Accomack County,Nandua High,0.4003067484662577,0.0644122383252818,0.0030674846625766,0.5383435582822086,0.0291411042944785,0.004601226993865,0.1533742331288343,0.91,0.2158,0.1161,42.0,49.0,0.0
Accomack County,Nandua Middle,0.6043956043956044,0.0973684210526315,0.0021978021978021,0.5252747252747253,0.0527472527472527,0.0043956043956043,0.1494505494505494,0.911,0.1798,,43.0,52.0,0.0
Accomack County,Pungoteague Elementary,0.4793577981651376,0.1317647058823529,0.0,0.5389908256880734,0.0688073394495412,0.0068807339449541,0.1376146788990825,0.911,0.16,,39.0,52.0,3.0
Accomack County,Tangier Combined,0.2857142857142857,0.0,0.0,0.5476190476190477,0.0,0.0,0.0,0.913,0.2380999999999999,0.0,86.0,14.0,0.0
Albemarle County,Agnor-Hurt Elementary,0.4978070175438596,0.2410714285714285,0.0,0.5362637362637362,0.0,0.0263157894736842,0.1096491228070175,0.532,0.2145,,40.0,52.0,4.0
Albemarle County,Albemarle High,1.0,1.0,1.0,0.5133159268929504,1.0,1.0,1.0,0.292,0.1945,0.0478,32.0,65.0,1.0
Albemarle County,Baker-Butler Elem,0.2375366568914956,0.1199400299850075,0.001466275659824,0.4868035190615836,0.0,0.1026392961876832,0.1173020527859237,0.25,0.0951,,32.0,68.0,0.0
Albemarle County,Broadus Wood Elementary,0.166023166023166,0.0,0.0,0.4864864864864865,0.0,0.0694980694980695,0.1274131274131274,0.151,0.1406,,41.0,59.0,0.0
Albemarle County,Brownsville Elementary,0.1309523809523809,0.0,0.0,0.5224867724867724,0.0,0.041005291005291,0.0965608465608465,0.109,0.0637,,46.0,51.0,0.0
Albemarle County,Community Lab School,0.0,0.0,0.0051546391752577,0.4587628865979381,0.0,0.0309278350515463,0.1958762886597938,0.212,0.0899,0.0,31.0,56.0,6.0
Albemarle County,Crozet Elementary,0.1815384615384615,0.0,0.0,0.5323076923076923,0.0,0.0369230769230769,0.1015384615384615,0.26,0.0967,,33.0,61.0,0.0
Albemarle County,Hollymead Elementary,0.1228070175438596,0.050595238095238,0.0029239766081871,0.5175438596491229,0.0,0.1140350877192982,0.1520467836257309,0.149,0.0975999999999999,,33.0,65.0,0.0
Albemarle County,Jack Jouett Middle,0.446685878962536,0.1538461538461538,0.0014409221902017,0.5238095238095238,0.0,0.0201729106628242,0.1585014409221902,,,,,,
Albemarle County,Jackson P. Burley Middle,0.3866666666666666,0.0912476722532588,0.0016666666666666,0.5083333333333333,0.0,0.0133333333333333,0.1416666666666666,0.405,0.1067999999999999,,23.0,68.0,6.0
Albemarle County,Joseph T. Henley Middle,0.1389548693586698,0.0119904076738609,0.0,0.505938242280285,0.0,0.0285035629453681,0.1021377672209026,0.133,0.0982,,37.0,58.0,1.0
Albemarle County,Journey Middle,,,,,,,,0.5489999999999999,0.1174,,27.0,68.0,4.0
Albemarle County,Lakeside Middle,0.1916058394160583,0.0328185328185328,0.0,0.47992700729927,0.0,0.0565693430656934,0.0930656934306569,0.198,0.1231,,37.0,57.0,4.0
Albemarle County,Leslie H. Walton Middle,0.3202416918429003,0.0,0.0060422960725075,0.5075987841945289,0.0,0.0120845921450151,0.1812688821752265,0.397,0.2291,,36.0,64.0,0.0
Albemarle County,Mary Carr Greer Elementary,0.5363825363825364,0.3248945147679324,0.0,0.4906444906444906,0.0,0.0124740124740124,0.1247401247401247,0.73,0.2798,,30.0,67.0,0.0
Albemarle County,Meriwether Lewis Elementary,0.0716510903426791,0.0,0.0031152647975077,0.5825545171339563,0.0,0.0218068535825545,0.0996884735202492,0.104,0.0533,,28.0,66.0,0.0
Albemarle County,Monticello High,0.310655737704918,1.0,1.0,0.4991803278688524,,1.0,1.0,0.295,0.2232,0.0576,32.0,61.0,3.0
Albemarle County,Mountain View Elementary,0.3803009575923393,0.1731301939058172,0.0,0.5376196990424077,0.0,0.0109439124487004,0.1258549931600547,0.416,0.1974,,28.0,66.0,2.0
Albemarle County,Red Hill Elementary,0.4338624338624338,0.0,0.0,0.5238095238095238,0.0,0.0052910052910052,0.1693121693121693,0.528,0.2865,,36.0,64.0,0.0
Albemarle County,Scottsville Elementary,0.4583333333333333,0.0,0.0046296296296296,0.5277777777777778,0.0,0.0138888888888888,0.1388888888888889,0.434,0.1442999999999999,,40.0,52.0,4.0
Albemarle County,Stone Robinson Elementary,0.2468085106382978,0.0556745182012847,0.0063829787234042,0.4776119402985074,0.0,0.0212765957446808,0.1595744680851064,0.268,0.1432,,26.0,72.0,2.0
Albemarle County,Stony Point Elementary,0.2925531914893617,0.0,0.0,0.5053191489361702,0.0,0.0372340425531914,0.0744680851063829,0.3229999999999999,0.1459,,38.0,58.0,0.0
Albemarle County,Virginia L. Murray Elementary,0.0895522388059701,0.0,0.003731343283582,0.5,0.0,0.0223880597014925,0.0970149253731343,0.066,0.062,,42.0,54.0,0.0
Albemarle County,Western Albemarle High,1.0,,1.0,0.5375972342264477,,1.0,1.0,0.106,0.1272,0.0068,35.0,62.0,1.0
Albemarle County,Woodbrook Elementary,0.5355871886120996,0.2206148282097649,0.0017793594306049,0.49644128113879,0.0,0.0249110320284697,0.1138790035587188,0.619,0.3302,,28.0,70.0,0.0
Alexandria City,Alexandria City High,,,1.0,,1.0,1.0,1.0,,,,,,
Alexandria City,Alexandria City High School,,,,,,,,0.601,0.1277,0.0876,23.0,70.0,1.0
Alexandria City,Charles Barrett Elementary,0.3672727272727272,0.3222836095764272,0.0,0.5618181818181818,0.0,0.0018181818181818,0.1418181818181818,0.317,0.168,,25.0,70.0,3.0
Alexandria City,Cora Kelly School for Math Science and Technology,0.6366906474820144,0.5606060606060606,0.0,0.5251798561151079,0.0,0.0035971223021582,0.1762589928057553,0.873,0.2471,,42.0,50.0,4.0
Alexandria City,Douglas MacArthur Elementary,,,,,,,,0.364,0.1612,,26.0,71.0,3.0
Alexandria City,Douglas Macarthur Elementary,0.3809523809523809,0.22,0.0035273368606701,0.5608465608465608,0.0,0.0035273368606701,0.0970017636684303,,,,,,
Alexandria City,Early Childhood Center,0.5754189944134078,0.0,0.0,0.5642458100558659,0.0,0.0,0.3184357541899441,,,,,,
Alexandria City,Ferdinand T. Day Elementary,0.7364746945898778,0.7504690431519699,0.0,0.5287958115183246,0.0,0.0,0.0715532286212914,0.821,0.2688,,32.0,61.0,3.0
Alexandria City,Francis C. Hammond Middle,0.0,0.4429906542056074,,0.514747191011236,1.0,1.0,1.0,0.778,0.0971,,28.0,66.0,2.0
Alexandria City,George Mason Elementary,0.3371757925072046,0.3108504398826979,0.0,0.5302593659942363,0.0,0.0,0.0979827089337175,0.301,0.1538,,17.0,79.0,3.0
Alexandria City,George Washington Middle,0.4906703524533518,0.2436837815810921,1.0,0.4961937716262976,,1.0,1.0,0.474,0.0907,,30.0,66.0,3.0
Alexandria City,James K. Polk Elementary,0.618229854689564,0.5690376569037657,0.0,0.5019815059445178,0.0,0.0066050198150594,0.0779392338177014,0.7170000000000001,0.1773999999999999,,35.0,58.0,2.0
Alexandria City,Jefferson-Houston PK-8 School,0.6180124223602484,0.1828859060402684,0.0,0.5248447204968945,0.015527950310559,0.0124223602484472,0.1677018633540372,0.634,0.2351,,24.0,68.0,3.0
Alexandria City,John Adams Elementary,0.7134587554269175,0.5984962406015037,0.0,0.5369030390738061,0.0,0.0260492040520984,0.0911722141823444,0.72,0.2761,,28.0,64.0,4.0
Alexandria City,Lyles-Crouch Elementary,0.205,0.0850515463917525,0.0,0.5425,0.0,0.0375,0.09,0.193,0.0812,,10.0,81.0,10.0
Alexandria City,Mount Vernon Elementary,0.4831081081081081,0.4516129032258064,0.0,0.5011261261261262,0.0,0.0078828828828828,0.072072072072072,0.506,0.2609,,38.0,61.0,2.0
Alexandria City,Naomi L. Brooks Elementary,0.2852941176470588,0.0805970149253731,0.0,0.5647058823529412,0.0,0.0176470588235294,0.1088235294117647,0.305,0.1298,,26.0,70.0,4.0
Alexandria City,Patrick Henry K-8 School,0.7154017857142857,0.4356687898089172,0.0,0.4933035714285714,0.0,0.0011160714285714,0.0803571428571428,0.775,0.1819,,32.0,57.0,3.0
Alexandria City,Samuel W. Tucker Elementary,0.4487004103967168,0.4190620272314674,0.0,0.5253077975376197,0.0,0.0246238030095759,0.06703146374829,0.584,0.2645,,20.0,71.0,2.0
Alexandria City,William Ramsay Elementary,0.7357859531772575,0.6631016042780749,0.0,0.5451505016722408,0.0,0.0083612040133779,0.0986622073578595,0.858,0.3201,,31.0,59.0,5.0
Alleghany County,Alleghany High,0.3762886597938144,0.0,0.0051546391752577,0.5756013745704467,0.0,0.0,0.1460481099656357,,,,,,
Alleghany County,Callaghan Elementary,0.4513618677042801,0.0,0.0,0.4785992217898833,0.0,0.0038910505836575,0.0894941634241245,,,,,,
Alleghany County,Clifton Middle,0.4209245742092457,0.0,0.0024330900243309,0.4963503649635036,0.0,0.0048661800486618,0.145985401459854,,,,,,
