Division Name,School Name,chronic_absenteeism_rate
Prince William County,A. Henderson Elementary,0.1081
Culpeper County,A.G. Richardson Elementary,0.2736
Chesterfield County,A.M. Davis Elementary,0.1985
Warren County,A.S. Rhodes Elementary,0.2289
Hampton City,A.W.E. Bassette Elementary,0.22940000000000002
Tazewell County,Abb's Valley-Boissevain Elementary,0.29600000000000004
Hampton City,Aberdeen Elementary,0.22579999999999997
Arlington County,Abingdon Elementary,0.1167
Washington County,Abingdon Elementary,0.1359
Gloucester County,Abingdon Elementary,0.15560000000000002
Washington County,Abingdon High,0.2528
Norfolk City,Academy for Discovery at Lakewood,0.0424
Accomack County,Accawmacke Elementary,0.1707
Newport News City,Achievable Dream Academy,0.3301
Gloucester County,Achilles Elementary,0.1348
King William County,Acquinton Elementary,0.1148
Roanoke City,Addison Aerospace Magnet Middle,0.3443
Frederick County,Admiral Richard E. Byrd Middle,0.18760000000000002
Albemarle County,Agnor-Hurt Elementary,0.2145
Virginia Beach City,Alanton Elementary,0.2047
Albemarle County,Albemarle High,0.1945
Martinsville City,Albert Harris Elementary,0.3885
Richmond City,Albert Hill Middle,0.2528
Hampton City,Albert W. Patrick III Elementary,0.1389
Chesterfield County,Alberta Smith Elementary,0.0837
Loudoun County,Aldie Elementary,0.0571
Fairfax County,Aldrin Elementary,0.13949999999999999
Alexandria City,Alexandria City High School,0.1277
Hampton City,Alfred S. Forrest Elementary,0.2286
Loudoun County,Algonkian Elementary,0.0791
Arlington County,Alice West Fleet Elementary,0.04650000000000001
Alleghany Highlands,Alleghany High,0.35810000000000003
Campbell County,Altavista Elementary,0.136
Campbell County,Altavista High,0.2446
Amelia County,Amelia County Elementary,0.2211
Amelia County,Amelia County High,0.2121
Amelia County,Amelia County Middle,0.215
Richmond City,Amelia Street Special Education,0.5517
Amherst County,Amelon Elementary,0.1931
Amherst County,Amherst County High,0.4382
Amherst County,Amherst Elementary,0.2227
Amherst County,Amherst Middle,0.2237
Stafford County,Andrew G. Wright Middle,0.1219
Salem City,Andrew Lewis Middle,0.1606
Fairfax County,Annandale High,0.2683
Fairfax County,Annandale Terrace Elementary,0.2304
