Division Name,School Name,percentage_disabled
Accomack County,Accawmacke Elementary,0.10294117647058823
Accomack County,Arcadia High,0.12954876273653565
Accomack County,Arcadia Middle,0.1663619744058501
Accomack County,Chincoteague Elementary,0.12831858407079647
Accomack County,Chincoteague High,0.13157894736842105
Accomack County,Kegotank Elementary,0.1726315789473684
Accomack County,Metompkin Elementary,0.11290322580645161
Accomack County,Nandua High,0.15337423312883436
Accomack County,Nandua Middle,0.14945054945054945
Accomack County,Pungoteague Elementary,0.13761467889908258
Accomack County,Tangier Combined,0.0
Albemarle County,Agnor-Hurt Elementary,0.10964912280701754
Albemarle County,Albemarle High,1.0
Albemarle County,Baker-Butler Elem,0.11730205278592376
Albemarle County,Broadus Wood Elementary,0.1274131274131274
Albemarle County,Brownsville Elementary,0.09656084656084656
Albemarle County,Community Lab School,0.1958762886597938
Albemarle County,Crozet Elementary,0.10153846153846154
Albemarle County,Hollymead Elementary,0.15204678362573099
Albemarle County,Jack Jouett Middle,0.1585014409221902
Albemarle County,Jackson P. Burley Middle,0.14166666666666666
Albemarle County,Joseph T. Henley Middle,0.1021377672209026
Albemarle County,Lakeside Middle,0.09306569343065693
Albemarle County,Leslie H. Walton Middle,0.18126888217522658
Albemarle County,Mary Carr Greer Elementary,0.12474012474012475
Albemarle County,Meriwether Lewis Elementary,0.09968847352024922
Albemarle County,Monticello High,1.0
Albemarle County,Mountain View Elementary,0.12585499316005472
Albemarle County,Red Hill Elementary,0.1693121693121693
Albemarle County,Scottsville Elementary,0.1388888888888889
Albemarle County,Stone Robinson Elementary,0.1595744680851064
Albemarle County,Stony Point Elementary,0.07446808510638298
Albemarle County,Virginia L. Murray Elementary,0.09701492537313433
Albemarle County,Western Albemarle High,1.0
Albemarle County,Woodbrook Elementary,0.11387900355871886
Alexandria City,Alexandria City High,1.0
Alexandria City,Charles Barrett Elementary,0.14181818181818182
Alexandria City,Cora Kelly School for Math Science and Technology,0.17625899280575538
Alexandria City,Douglas Macarthur Elementary,0.09700176366843033
Alexandria City,Early Childhood Center,0.31843575418994413
Alexandria City,Ferdinand T. Day Elementary,0.07155322862129145
Alexandria City,Francis C. Hammond Middle,1.0
Alexandria City,George Mason Elementary,0.09798270893371758
Alexandria City,George Washington Middle,1.0
Alexandria City,James K. Polk Elementary,0.07793923381770146
Alexandria City,Jefferson-Houston PK-8 School,0.16770186335403728
Alexandria City,John Adams Elementary,0.09117221418234443
Alexandria City,Lyles-Crouch Elementary,0.09
Alexandria City,Mount Vernon Elementary,0.07207207207207207
Alexandria City,Naomi L. Brooks Elementary,0.10882352941176471
Alexandria City,Patrick Henry K-8 School,0.08035714285714286
Alexandria City,Samuel W. Tucker Elementary,0.06703146374829001
Alexandria City,William Ramsay Elementary,0.09866220735785954
Alleghany County,Alleghany High,0.14604810996563575
Alleghany County,Callaghan Elementary,0.08949416342412451
Alleghany County,Clifton Middle,0.145985401459854
Alleghany County,Mountain View Elementary,0.17446808510638298
Alleghany County,Sharon Elementary,0.14659685863874344
Amelia County,Amelia County Elementary,0.1106612685560054
Amelia County,Amelia County High,0.13387423935091278
Amelia County,Amelia County Middle,0.11970074812967581
Amherst County,Amelon Elementary,0.14746543778801843
Amherst County,Amherst County High,1.0
Amherst County,Amherst Elementary,0.12875536480686695
Amherst County,Amherst Middle,0.12962962962962962
Amherst County,Central Elementary,0.2319277108433735
Amherst County,Elon Elementary,0.13529411764705881
Amherst County,Madison Heights Elementary,0.12598425196850394
Amherst County,Monelison Middle,0.1357142857142857
Amherst County,Temperance Elementary,0.11578947368421053
Appomattox County,Appomattox County High,0.09770114942528736
Appomattox County,Appomattox Elementary,0.10778443113772455
Appomattox County,Appomattox Middle,0.09760589318600368
Appomattox County,Appomattox Primary,0.12709030100334448
Arlington County,Abingdon Elementary,0.11614730878186968
Arlington County,Alice West Fleet Elementary,0.13527397260273974
Arlington County,Arlington Community High,0.0
Arlington County,Arlington Science Focus School,0.10964912280701754
Arlington County,Arlington Traditional,0.08233532934131736
Arlington County,Ashlawn Elementary,0.1259259259259259
Arlington County,Barcroft Elementary,0.1318181818181818
Arlington County,Barrett Elementary,0.20454545454545456
Arlington County,Campbell Elementary,0.15023474178403756
Arlington County,Cardinal Elementary,0.0851063829787234
Arlington County,Carlin Springs Elementary,0.15625
Arlington County,Claremont Immersion,0.09734513274336283
Arlington County,Discovery Elementary,0.13255360623781676
Arlington County,Dorothy Hamm Middle,0.1362162162162162
Arlington County,Dr. Charles R. Drew Elementary,0.2163355408388521
Arlington County,Escuela Key Elementary,0.0864
Arlington County,Glebe Elementary,0.1150278293135436
Arlington County,Gunston Middle,1.0
Arlington County,Hoffman-Boston Elementary,0.13250883392226148
Arlington County,Innovation Elementary,0.07673267326732673
Arlington County,Integration Station,1.0
Arlington County,Jamestown Elementary,0.13052208835341367
Arlington County,Jefferson Middle,0.19135135135135134
Arlington County,Kenmore Middle,0.2188715953307393
Arlington County,Long Branch Elementary,0.1311881188118812
Arlington County,Montessori Public School of Arlington,0.11066398390342053
Arlington County,Nottingham Elementary,0.12315270935960591
Arlington County,Oakridge Elementary,0.09838709677419355
Arlington County,Randolph Elementary,0.19811320754716982
Arlington County,Swanson Middle,0.13825363825363826
Arlington County,Taylor Elementary,0.1189083820662768
Arlington County,Tuckahoe Elementary,0.10672853828306264
Arlington County,Wakefield High,1.0
Arlington County,Washington-Liberty High,1.0
Arlington County,Williamsburg Middle,0.13095238095238096
Arlington County,Yorktown High,1.0
Augusta County,Beverley Manor Middle,0.08603896103896104
Augusta County,Buffalo Gap High,0.10176991150442478
Augusta County,Cassell Elementary,0.09090909090909091
Augusta County,Churchville Elementary,0.06766917293233082
Augusta County,Craigsville Elementary,0.08955223880597014
Augusta County,Edward G. Clymore Elementary,0.07133058984910837
Augusta County,Fort Defiance High,0.11019283746556474
Augusta County,Guy K. Stump Elementary,0.06526806526806526
Augusta County,North River Elementary,0.05042016806722689
Augusta County,Riverheads Elementary,0.0815450643776824
Augusta County,Riverheads High,0.09014675052410902
Augusta County,S. Gordon Stewart Middle,0.09019607843137255
Augusta County,Stuarts Draft Elementary,0.08243727598566308
Augusta County,Stuarts Draft High,0.11533052039381153
Augusta County,Stuarts Draft Middle,0.11637931034482758
Augusta County,Wilson Elementary,0.11195158850226929
Augusta County,Wilson Memorial High,0.10449574726609964
Augusta County,Wilson Middle,0.12933753943217666
Bath County,Bath County High,0.12234042553191489
Bath County,Millboro Elementary,0.22695035460992907
Bath County,Valley Elementary,0.1907514450867052
Bedford County,Bedford Elementary,0.12056737588652482
Bedford County,Bedford Primary,0.24
Bedford County,Big Island Elementary,0.08904109589041095
Bedford County,Boonsboro Elementary,0.06764705882352941
Bedford County,Forest Elementary,0.05128205128205128
Bedford County,Forest Middle,0.08626560726447219
Bedford County,Goodview Elementary,0.15113871635610765
Bedford County,Huddleston Elementary,0.1152073732718894
