Division Name,School Name,percentage_disadvantaged
Accomack County,Accawmacke Elementary,0.4852941176470588
Accomack County,Arcadia High,0.38282387190684136
Accomack County,Arcadia Middle,0.4826325411334552
Accomack County,Chincoteague Elementary,0.25663716814159293
Accomack County,Chincoteague High,0.29699248120300753
Accomack County,Kegotank Elementary,0.48210526315789476
Accomack County,Metompkin Elementary,0.33154121863799285
Accomack County,Nandua High,0.4003067484662577
Accomack County,Nandua Middle,0.6043956043956044
Accomack County,Pungoteague Elementary,0.4793577981651376
Accomack County,Tangier Combined,0.2857142857142857
Albemarle County,Agnor-Hurt Elementary,0.49780701754385964
Albemarle County,Albemarle High,1.0
Albemarle County,Baker-Butler Elem,0.2375366568914956
Albemarle County,Broadus Wood Elementary,0.16602316602316602
Albemarle County,Brownsville Elementary,0.13095238095238096
Albemarle County,Community Lab School,0.0
Albemarle County,Crozet Elementary,0.18153846153846154
Albemarle County,Hollymead Elementary,0.12280701754385964
Albemarle County,Jack Jouett Middle,0.44668587896253603
Albemarle County,Jackson P. Burley Middle,0.38666666666666666
Albemarle County,Joseph T. Henley Middle,0.13895486935866982
Albemarle County,Lakeside Middle,0.19160583941605838
Albemarle County,Leslie H. Walton Middle,0.3202416918429003
Albemarle County,Mary Carr Greer Elementary,0.5363825363825364
Albemarle County,Meriwether Lewis Elementary,0.07165109034267912
Albemarle County,Monticello High,0.31065573770491806
Albemarle County,Mountain View Elementary,0.3803009575923393
Albemarle County,Red Hill Elementary,0.43386243386243384
Albemarle County,Scottsville Elementary,0.4583333333333333
Albemarle County,Stone Robinson Elementary,0.24680851063829787
Albemarle County,Stony Point Elementary,0.2925531914893617
Albemarle County,Virginia L. Murray Elementary,0.08955223880597014
Albemarle County,Western Albemarle High,1.0
Albemarle County,Woodbrook Elementary,0.5355871886120996
Alexandria City,Alexandria City High,
Alexandria City,Charles Barrett Elementary,0.36727272727272725
Alexandria City,Cora Kelly School for Math Science and Technology,0.6366906474820144
Alexandria City,Douglas Macarthur Elementary,0.38095238095238093
Alexandria City,Early Childhood Center,0.5754189944134078
Alexandria City,Ferdinand T. Day Elementary,0.7364746945898778
Alexandria City,Francis C. Hammond Middle,0.0
Alexandria City,George Mason Elementary,0.3371757925072046
Alexandria City,George Washington Middle,0.4906703524533518
Alexandria City,James K. Polk Elementary,0.618229854689564
Alexandria City,Jefferson-Houston PK-8 School,0.6180124223602484
Alexandria City,John Adams Elementary,0.7134587554269175
Alexandria City,Lyles-Crouch Elementary,0.205
Alexandria City,Mount Vernon Elementary,0.4831081081081081
Alexandria City,Naomi L. Brooks Elementary,0.2852941176470588
Alexandria City,Patrick Henry K-8 School,0.7154017857142857
Alexandria City,Samuel W. Tucker Elementary,0.4487004103967168
Alexandria City,William Ramsay Elementary,0.7357859531772575
Alleghany County,Alleghany High,0.37628865979381443
Alleghany County,Callaghan Elementary,0.45136186770428016
Alleghany County,Clifton Middle,0.4209245742092457
Alleghany County,Mountain View Elementary,0.502127659574468
