Division Name,School Name,cohort_dropout_rate
Washington County,Abingdon High,0.0636
Albemarle County,Albemarle High,0.0478
Alexandria City,Alexandria City High School,0.0876
Alleghany Highlands,Alleghany High,0.0588
Campbell County,Altavista High,0.113
Amelia County,Amelia County High,0.0174
Amherst County,Amherst County High,0.052000000000000005
Fairfax County,Annandale High,0.07919999999999999
Appomattox County,Appomattox County High,0.046900000000000004
Accomack County,Arcadia High,0.07730000000000001
Arlington County,Arlington Community High,0.1429
Hanover County,Atlee High,0.026099999999999998
Montgomery County,Auburn High,0.0206
Henry County,Bassett High,0.0981
Bath County,Bath County High,0.027000000000000003
Virginia Beach City,Bayside High,0.04
Hampton City,Bethel High,0.0069
Montgomery County,Blacksburg High,0.0102
Bland County,Bland County High,0.0
Norfolk City,Booker T Washington High,0.1005
Prince William County,Brentsville District High,0.019
Loudoun County,Broad Run High,0.0195
Rockingham County,Broadway High,0.0268
Stafford County,Brooke Point High,0.019799999999999998
Campbell County,Brookville High,0.032
Brunswick County,Brunswick High,0.0579
York County,Bruton High,0.0132
Fairfax County,Bryant High,0.4412
Buckingham County,Buckingham County High,0.0441
Augusta County,Buffalo Gap High,0.0909
Prince William County,C.D. Hylton High,0.0335
Caroline County,Caroline High,0.051699999999999996
Carroll County,Carroll County High,0.047400000000000005
Chesterfield County,Carver College and Career Academy,0.34619999999999995
Russell County,Castlewood High,0.0167
Roanoke County,Cave Spring High,0.0298
Shenandoah County,Central High,0.0158
King and Queen County,Central High,0.0222
Lunenburg County,Central High,0.0635
Wise County,Central High,0.0208
Fairfax County,Centreville High,0.0641
Spotsylvania County,Chancellor High,0.061
Fairfax County,Chantilly High,0.0189
Charles City County,Charles City County High,0.060599999999999994
Prince William County,Charles J. Colgan Sr. High,0.0144
Charlottesville City,Charlottesville High,0.0403
Pittsylvania County,Chatham High,0.1
Smyth County,Chilhowie High,0.0
Accomack County,Chincoteague High,0.0
Montgomery County,Christiansburg High,0.0223
Portsmouth City,Churchland High,0.0658
Clarke County,Clarke County High,0.012
Chesterfield County,Clover Hill High,0.0409
Colonial Beach,Colonial Beach High,0.0196
Stafford County,Colonial Forge High,0.018000000000000002
Colonial Heights City,Colonial Heights High,0.0379
Albemarle County,Community Lab School,0.0
Chesterfield County,Cosby High,0.006999999999999999
Spotsylvania County,Courtland High,0.0588
Alleghany Highlands,Covington High,0.0526
Craig County,Craig County High,0.1
Culpeper County,Culpeper County High,0.0987
Cumberland County,Cumberland High,0.05
Pittsylvania County,Dan River High,0.0784
Chesapeake City,Deep Creek High,0.0592
Henrico County,Deep Run High,0.0085
Newport News City,Denbigh High,0.0040999999999999995
Dinwiddie County,Dinwiddie County High,0.0536
Loudoun County,Dominion High,0.0362
Henrico County,Douglas S. Freeman High,0.0911
Rockingham County,East Rockingham High,0.0398
Montgomery County,Eastern Montgomery High,0.06559999999999999
Culpeper County,Eastern View High,0.1353
Wise County,Eastside High,0.0588
Fairfax County,Edison High,0.030699999999999998
Essex County,Essex High,0.0364
Fairfax County,Fairfax High,0.0535
Fairfax County,Falls Church High,0.0929
Fauquier County,Fauquier High,0.041100000000000005
Virginia Beach City,First Colonial High,0.0321
Floyd County,Floyd County High,0.018600000000000002
Virginia Beach City,Floyd Kellam High,0.008
Fluvanna County,Fluvanna County High,0.0197
Prince William County,Forest Park High,0.0315
Wythe County,Fort Chiswell High,0.0513
Augusta County,Fort Defiance High,0.0104
Virginia Beach City,Frank W. Cox High,0.0297
Franklin County,Franklin County High,0.1109
Franklin City,Franklin High,0.1266
Richmond City,Franklin Military Academy,0.0
Prince William County,Gainesville High,0.0
Galax City,Galax High,0.0723
Danville City,Galileo Magnet High,0.0
Prince William County,Gar-Field High,0.1007
Scott County,Gate City High,0.0809
Danville City,George Washington High,0.1466
Richmond City,George Wythe High,0.43810000000000004
Wythe County,George Wythe High,0.09179999999999999
Giles County,Giles High,0.0526
Henrico County,Glen Allen High,0.015
Roanoke County,Glenvar High,0.0479
Gloucester County,Gloucester High,0.0557
Goochland County,Goochland High,0.0308
York County,Grafton High,0.0208
Tazewell County,Graham High,0.0794
Norfolk City,Granby High,0.1462
Chesapeake City,Grassfield High,0.0087
Grayson County,Grayson County High,0.0
Chesapeake City,Great Bridge High,0.0256
Virginia Beach City,Green Run Collegiate,0.0
Virginia Beach City,Green Run High,0.0437
Greensville County,Greensville County High,0.1329
Pittsylvania County,Gretna High,0.0764
Buchanan County,Grundy High,0.0426
Halifax County,Halifax County High,0.1291
Hampton City,Hampton High,0.0147
Hanover County,Hanover High,0.016399999999999998
