Division Name,School Name,percentage_english_learners
Accomack County,Accawmacke Elementary,0.26424870466321243
Accomack County,Arcadia High,0.13897280966767372
Accomack County,Arcadia Middle,0.18604651162790697
Accomack County,Chincoteague Elementary,0.0
Accomack County,Chincoteague High,0.0
Accomack County,Kegotank Elementary,0.21244635193133046
Accomack County,Metompkin Elementary,0.39097744360902253
Accomack County,Nandua High,0.0644122383252818
Accomack County,Nandua Middle,0.09736842105263158
Accomack County,Pungoteague Elementary,0.13176470588235295
Accomack County,Tangier Combined,0.0
Albemarle County,Agnor-Hurt Elementary,0.24107142857142858
Albemarle County,Albemarle High,1.0
Albemarle County,Baker-Butler Elem,0.1199400299850075
Albemarle County,Broadus Wood Elementary,0.0
Albemarle County,Brownsville Elementary,0.0
Albemarle County,Community Lab School,0.0
Albemarle County,Crozet Elementary,0.0
Albemarle County,Hollymead Elementary,0.050595238095238096
Albemarle County,Jack Jouett Middle,0.15384615384615385
Albemarle County,Jackson P. Burley Middle,0.09124767225325885
Albemarle County,Joseph T. Henley Middle,0.011990407673860911
Albemarle County,Lakeside Middle,0.032818532818532815
Albemarle County,Leslie H. Walton Middle,0.0
Albemarle County,Mary Carr Greer Elementary,0.32489451476793246
Albemarle County,Meriwether Lewis Elementary,0.0
Albemarle County,Monticello High,1.0
Albemarle County,Mountain View Elementary,0.1731301939058172
Albemarle County,Red Hill Elementary,0.0
Albemarle County,Scottsville Elementary,0.0
Albemarle County,Stone Robinson Elementary,0.055674518201284794
Albemarle County,Stony Point Elementary,0.0
Albemarle County,Virginia L. Murray Elementary,0.0
Albemarle County,Western Albemarle High,
Albemarle County,Woodbrook Elementary,0.2206148282097649
Alexandria City,Alexandria City High,
Alexandria City,Charles Barrett Elementary,0.32228360957642727
Alexandria City,Cora Kelly School for Math Science and Technology,0.5606060606060606
Alexandria City,Douglas Macarthur Elementary,0.22
Alexandria City,Early Childhood Center,0.0
Alexandria City,Ferdinand T. Day Elementary,0.7504690431519699
Alexandria City,Francis C. Hammond Middle,0.44299065420560746
Alexandria City,George Mason Elementary,0.31085043988269795
Alexandria City,George Washington Middle,0.2436837815810921
Alexandria City,James K. Polk Elementary,0.5690376569037657
Alexandria City,Jefferson-Houston PK-8 School,0.18288590604026847
Alexandria City,John Adams Elementary,0.5984962406015037
Alexandria City,Lyles-Crouch Elementary,0.08505154639175258
Alexandria City,Mount Vernon Elementary,0.45161290322580644
Alexandria City,Naomi L. Brooks Elementary,0.08059701492537313
Alexandria City,Patrick Henry K-8 School,0.4356687898089172
Alexandria City,Samuel W. Tucker Elementary,0.41906202723146746
Alexandria City,William Ramsay Elementary,0.6631016042780749
Alleghany County,Alleghany High,0.0
Alleghany County,Callaghan Elementary,0.0
Alleghany County,Clifton Middle,0.0
Alleghany County,Mountain View Elementary,0.0
Alleghany County,Sharon Elementary,0.0
Amelia County,Amelia County Elementary,0.03934871099050204
Amelia County,Amelia County High,0.0
Amelia County,Amelia County Middle,0.03535353535353535
Amherst County,Amelon Elementary,0.0
Amherst County,Amherst County High,
Amherst County,Amherst Elementary,0.0
Amherst County,Amherst Middle,0.0
Amherst County,Central Elementary,0.0
Amherst County,Elon Elementary,0.0
Amherst County,Madison Heights Elementary,0.0
Amherst County,Monelison Middle,0.0
Amherst County,Temperance Elementary,0.0
Appomattox County,Appomattox County High,0.0
Appomattox County,Appomattox Elementary,0.0
Appomattox County,Appomattox Middle,0.0
Appomattox County,Appomattox Primary,0.0
Arlington County,Abingdon Elementary,0.3892128279883382
Arlington County,Alice West Fleet Elementary,0.3188405797101449
Arlington County,Arlington Community High,0.7670454545454546
Arlington County,Arlington Science Focus School,0.1111111111111111
Arlington County,Arlington Traditional,0.2633390705679862
Arlington County,Ashlawn Elementary,0.1931166347992352
Arlington County,Barcroft Elementary,0.5036496350364964
Arlington County,Barrett Elementary,0.5323886639676113
Arlington County,Campbell Elementary,0.3483709273182957
Arlington County,Cardinal Elementary,0.040310077519379844
