Division Name,School Name,free_reduced_lunch_percentage
Prince William County,A. Henderson Elementary,0.258
Culpeper County,A.G. Richardson Elementary,0.405
Chesterfield County,A.M. Davis Elementary,0.609
Warren County,A.S. Rhodes Elementary,0.373
Hampton City,A.W.E. Bassette Elementary,0.9109999999999999
Tazewell County,Abb's Valley-Boissevain Elementary,0.946
Hampton City,Aberdeen Elementary,0.9109999999999999
Washington County,Abingdon Elementary,0.424
Gloucester County,Abingdon Elementary,0.461
Arlington County,Abingdon Elementary,0.445
Washington County,Abingdon High,0.382
Norfolk City,Academy for Discovery at Lakewood,0.327
Accomack County,Accawmacke Elementary,0.9109999999999999
Newport News City,Achievable Dream Academy,0.765
Gloucester County,Achilles Elementary,0.461
King William County,Acquinton Elementary,0.287
Roanoke City,Addison Aerospace Magnet Middle,1.0
Frederick County,Admiral Richard E. Byrd Middle,0.294
Albemarle County,Agnor-Hurt Elementary,0.532
Virginia Beach City,Alanton Elementary,0.389
Albemarle County,Albemarle High,0.292
Martinsville City,Albert Harris Elementary,1.0
Richmond City,Albert Hill Middle,1.0
Hampton City,Albert W. Patrick III Elementary,0.91
Chesterfield County,Alberta Smith Elementary,0.223
Loudoun County,Aldie Elementary,0.133
Fairfax County,Aldrin Elementary,0.154
Alexandria City,Alexandria City High School,0.601
Hampton City,Alfred S. Forrest Elementary,0.608
Loudoun County,Algonkian Elementary,0.11
Arlington County,Alice West Fleet Elementary,0.299
Alleghany Highlands,Alleghany High,0.41100000000000003
Campbell County,Altavista Elementary,0.624
Campbell County,Altavista High,0.5
Amelia County,Amelia County Elementary,0.574
Amelia County,Amelia County High,0.44799999999999995
Amelia County,Amelia County Middle,0.564
Richmond City,Amelia Street Special Education,1.0
Amherst County,Amelon Elementary,0.53
Amherst County,Amherst County High,0.414
Amherst County,Amherst Elementary,0.46
Amherst County,Amherst Middle,0.47700000000000004
Stafford County,Andrew G. Wright Middle,0.29100000000000004
Salem City,Andrew Lewis Middle,0.405
Fairfax County,Annandale High,0.607
Fairfax County,Annandale Terrace Elementary,0.826
Stafford County,Anne E. Moncure Elementary,0.617
Stafford County,Anthony Burns Elementary,0.423
Prince William County,Antietam Elementary,0.389
Frederick County,Apple Pie Ridge Elementary,0.41700000000000004
Appomattox County,Appomattox County High,0.414
Appomattox County,Appomattox Elementary,0.507
Appomattox County,Appomattox Middle,0.528
Accomack County,Arcadia High,0.9109999999999999
Fairfax County,Archer Elementary,0.099
Loudoun County,Arcola Elementary,0.102
Arlington County,Arlington Community High,0.228
Arlington County,Arlington Traditional,0.307
Frederick County,Armel Elementary,0.22699999999999998
Hampton City,Armstrong Elementary,0.295
