Division Name,School Name,percentage_male
Accomack County,Accawmacke Elementary,0.5049019607843137
Accomack County,Arcadia High,0.529839883551674
Accomack County,Arcadia Middle,0.4789762340036563
Accomack County,Chincoteague Elementary,0.5398230088495575
Accomack County,Chincoteague High,0.518796992481203
Accomack County,Kegotank Elementary,0.5178947368421053
Accomack County,Metompkin Elementary,0.5053763440860215
Accomack County,Nandua High,0.5383435582822086
Accomack County,Nandua Middle,0.5252747252747253
Accomack County,Pungoteague Elementary,0.5389908256880734
Accomack County,Tangier Combined,0.5476190476190477
Albemarle County,Agnor-Hurt Elementary,0.5362637362637362
Albemarle County,Albemarle High,0.5133159268929504
Albemarle County,Baker-Butler Elem,0.4868035190615836
Albemarle County,Broadus Wood Elementary,0.4864864864864865
Albemarle County,Brownsville Elementary,0.5224867724867724
Albemarle County,Community Lab School,0.4587628865979381
Albemarle County,Crozet Elementary,0.5323076923076923
Albemarle County,Hollymead Elementary,0.5175438596491229
Albemarle County,Jack Jouett Middle,0.5238095238095238
Albemarle County,Jackson P. Burley Middle,0.5083333333333333
Albemarle County,Joseph T. Henley Middle,0.505938242280285
Albemarle County,Lakeside Middle,0.47992700729927007
Albemarle County,Leslie H. Walton Middle,0.5075987841945289
Albemarle County,Mary Carr Greer Elementary,0.49064449064449067
Albemarle County,Meriwether Lewis Elementary,0.5825545171339563
Albemarle County,Monticello High,0.49918032786885247
Albemarle County,Mountain View Elementary,0.5376196990424077
Albemarle County,Red Hill Elementary,0.5238095238095238
Albemarle County,Scottsville Elementary,0.5277777777777778
Albemarle County,Stone Robinson Elementary,0.47761194029850745
Albemarle County,Stony Point Elementary,0.5053191489361702
Albemarle County,Virginia L. Murray Elementary,0.5
Albemarle County,Western Albemarle High,0.5375972342264477
Albemarle County,Woodbrook Elementary,0.49644128113879005
Alexandria City,Alexandria City High,
Alexandria City,Charles Barrett Elementary,0.5618181818181818
Alexandria City,Cora Kelly School for Math Science and Technology,0.5251798561151079
Alexandria City,Douglas Macarthur Elementary,0.5608465608465608
Alexandria City,Early Childhood Center,0.5642458100558659
Alexandria City,Ferdinand T. Day Elementary,0.5287958115183246
Alexandria City,Francis C. Hammond Middle,0.514747191011236
Alexandria City,George Mason Elementary,0.5302593659942363
Alexandria City,George Washington Middle,0.4961937716262976
Alexandria City,James K. Polk Elementary,0.5019815059445178
Alexandria City,Jefferson-Houston PK-8 School,0.5248447204968945
Alexandria City,John Adams Elementary,0.5369030390738061
Alexandria City,Lyles-Crouch Elementary,0.5425
Alexandria City,Mount Vernon Elementary,0.5011261261261262
Alexandria City,Naomi L. Brooks Elementary,0.5647058823529412
Alexandria City,Patrick Henry K-8 School,0.49330357142857145
Alexandria City,Samuel W. Tucker Elementary,0.5253077975376197
Alexandria City,William Ramsay Elementary,0.5451505016722408
Alleghany County,Alleghany High,0.5756013745704467
Alleghany County,Callaghan Elementary,0.4785992217898833
Alleghany County,Clifton Middle,0.49635036496350365
Alleghany County,Mountain View Elementary,0.5468085106382978
Alleghany County,Sharon Elementary,0.5235602094240838
Amelia County,Amelia County Elementary,0.5425101214574899
Amelia County,Amelia County High,0.486815415821501
Amelia County,Amelia County Middle,0.48877805486284287
Amherst County,Amelon Elementary,0.5668202764976958
Amherst County,Amherst County High,0.5110928512736237
Amherst County,Amherst Elementary,0.5107296137339056
Amherst County,Amherst Middle,0.455026455026455
Amherst County,Central Elementary,0.5602409638554217
Amherst County,Elon Elementary,0.5588235294117647
Amherst County,Madison Heights Elementary,0.49343832020997375
Amherst County,Monelison Middle,0.5446428571428571
Amherst County,Temperance Elementary,0.49473684210526314
Appomattox County,Appomattox County High,0.4885057471264368
Appomattox County,Appomattox Elementary,0.5369261477045908
Appomattox County,Appomattox Middle,0.46593001841620624
Appomattox County,Appomattox Primary,0.5117056856187291
Arlington County,Abingdon Elementary,0.5609065155807366
Arlington County,Alice West Fleet Elementary,0.5154109589041096
Arlington County,Arlington Community High,0.5
Arlington County,Arlington Science Focus School,0.5657894736842105
Arlington County,Arlington Traditional,0.5104790419161677
Arlington County,Ashlawn Elementary,0.5518518518518518
Arlington County,Barcroft Elementary,0.5136363636363637
Arlington County,Barrett Elementary,0.5351043643263758
Arlington County,Campbell Elementary,0.48826291079812206
Arlington County,Cardinal Elementary,0.48936170212765956
Arlington County,Carlin Springs Elementary,0.5294117647058824
Arlington County,Claremont Immersion,0.5265486725663717
Arlington County,Discovery Elementary,0.5380116959064327
Arlington County,Dorothy Hamm Middle,0.5059588299024919
Arlington County,Dr. Charles R. Drew Elementary,0.5518763796909493
Arlington County,Escuela Key Elementary,0.4855769230769231
Arlington County,Glebe Elementary,0.5139146567717996
Arlington County,Gunston Middle,0.503803888419273
Arlington County,Hoffman-Boston Elementary,0.5547703180212014
Arlington County,Innovation Elementary,0.44801980198019803
Arlington County,Integration Station,0.6774193548387096
Arlington County,Jamestown Elementary,0.4779116465863454
Arlington County,Jefferson Middle,0.5091891891891892
Arlington County,Kenmore Middle,0.5287804878048781
Arlington County,Long Branch Elementary,0.49257425742574257
Arlington County,Montessori Public School of Arlington,0.49295774647887325
Arlington County,Nottingham Elementary,0.5517241379310345
Arlington County,Oakridge Elementary,0.5129032258064516
Arlington County,Randolph Elementary,0.5377358490566038
Arlington County,Swanson Middle,0.5207900207900208
Arlington County,Taylor Elementary,0.557504873294347
Arlington County,Tuckahoe Elementary,0.5545243619489559
Arlington County,Wakefield High,
Arlington County,Washington-Liberty High,
Arlington County,Williamsburg Middle,0.5226190476190476
Arlington County,Yorktown High,
Augusta County,Beverley Manor Middle,0.5373376623376623
Augusta County,Buffalo Gap High,0.5486725663716814
Augusta County,Cassell Elementary,0.511177347242921
Augusta County,Churchville Elementary,0.5288220551378446
Augusta County,Craigsville Elementary,0.44776119402985076
Augusta County,Edward G. Clymore Elementary,0.5061728395061729
Augusta County,Fort Defiance High,0.5041322314049587
Augusta County,Guy K. Stump Elementary,0.4755244755244755
Augusta County,North River Elementary,0.5084033613445378
Augusta County,Riverheads Elementary,0.4907010014306152
Augusta County,Riverheads High,0.5723270440251572
Augusta County,S. Gordon Stewart Middle,0.49607843137254903
Augusta County,Stuarts Draft Elementary,0.4982078853046595
Augusta County,Stuarts Draft High,0.5274261603375527
Augusta County,Stuarts Draft Middle,0.5387931034482759
Augusta County,Wilson Elementary,0.49016641452344933
Augusta County,Wilson Memorial High,0.49817739975698666
Augusta County,Wilson Middle,0.526813880126183
Bath County,Bath County High,0.48936170212765956
Bath County,Millboro Elementary,0.425531914893617
Bath County,Valley Elementary,0.5317919075144508
Bedford County,Bedford Elementary,0.5153664302600472
Bedford County,Bedford Primary,0.4763636363636364
Bedford County,Big Island Elementary,0.4931506849315068
Bedford County,Boonsboro Elementary,0.5088235294117647
Bedford County,Forest Elementary,0.4586894586894587
Bedford County,Forest Middle,0.5334846765039728
Bedford County,Goodview Elementary,0.5238095238095238
Bedford County,Huddleston Elementary,0.5207373271889401
Bedford County,Jefferson Forest High,0.5027279812938426
Bedford County,Liberty High,0.5035063113604488
Bedford County,Liberty Middle,0.5479704797047971
Bedford County,Moneta Elementary,0.5740740740740741
Bedford County,Montvale Elementary,0.5183673469387755
Bedford County,New London Academy Elementary,0.5220125786163522
Bedford County,Otter River Elementary,0.5684210526315789
Bedford County,Staunton River High,0.5331882480957563
Bedford County,Staunton River Middle,0.5142378559463987
Bedford County,Stewartsville Elementary,0.47352941176470587
Bedford County,Thomas Jefferson Elementary,0.5169811320754717
Bland County,Bland County Elementary,0.5187319884726225
Bland County,Bland County High,0.5026881720430108
Botetourt County,Breckinridge Elementary,0.5632183908045977
Botetourt County,Buchanan Elementary,0.51
Botetourt County,Central Academy Middle,0.4789915966386555
Botetourt County,Cloverdale Elementary,0.5
Botetourt County,Colonial Elementary,0.5386363636363637
Botetourt County,Eagle Rock Elementary,0.4453125
Botetourt County,Greenfield Elementary,0.5462962962962963
Botetourt County,James River High,0.542016806722689
Botetourt County,Lord Botetourt High,0.5163528245787908
Botetourt County,Read Mountain Middle,0.4843260188087774
Botetourt County,Troutville Elementary,0.5135135135135135
Bristol City,Highland View Elementary,0.5248618784530387
Bristol City,Joseph Van Pelt Elementary,0.47743467933491684
Bristol City,Stonewall Jackson Elementary,0.5625
Bristol City,Virginia High,0.514866979655712
Bristol City,Virginia Middle,0.5041152263374485
Bristol City,Washington-Lee Elementary,0.48068669527896996
Brunswick County,Brunswick High,0.5216400911161732
Brunswick County,James S. Russell Middle,0.5245398773006135
Brunswick County,Meherrin Powellton Elementary,0.5449438202247191
Brunswick County,Red Oak-Sturgeon Elementary,0.4972375690607735
Brunswick County,Totaro Elementary,0.49491525423728816
Buchanan County,Council Elementary/Middle,0.519774011299435
Buchanan County,Council High,0.496
Buchanan County,Grundy High,0.5352112676056338
Buchanan County,Hurley Elementary/Middle,0.5260273972602739
Buchanan County,Hurley High,0.4729064039408867
Buchanan County,Riverview Elementary/Middle,0.4889807162534435
Buchanan County,Twin Valley Elementary/Middle,0.5467625899280576
Buchanan County,Twin Valley High,0.5454545454545454
Buckingham County,Buckingham Co Elementary,0.5169902912621359
Buckingham County,Buckingham Co Prekindergarten Center,0.5795454545454546
