Division Name,School Name,Race,Percentage
Accomack County,Accawmacke Elementary,"Black, White, Hispanic, Non-Hispanic, Asian","0.4460784314, 0.2794117647, 0.2426470588, 0.017156862749999998, 0.01470588235"
Accomack County,Arcadia High,"Black, Hispanic, White, Asian, Non-Hispanic","0.3697234352, 0.31586608439999997, 0.2954876274, 0.01164483261, 0.00727802038"
Accomack County,Arcadia Middle,"Black, Hispanic, White, Non-Hispanic, Asian, American Indian or Alaska Native","0.3638025594, 0.3217550274, 0.28519195610000003, 0.02376599634, 0.00365630713, 0.00182815356"
Accomack County,Chincoteague Elementary,"White, Black, Hispanic, Non-Hispanic","0.7522123894, 0.1327433628, 0.06194690265, 0.05309734513"
Accomack County,Chincoteague High,"White, Black, Non-Hispanic, Hispanic, American Indian or Alaska Native, Asian","0.8157894737, 0.1203007519, 0.03007518797, 0.02631578947, 0.0037593985000000003, 0.0037593985000000003"
Accomack County,Kegotank Elementary,"Black, White, Hispanic, American Indian or Alaska Native, Non-Hispanic, Asian","0.38736842109999997, 0.3410526316, 0.25473684209999997, 0.0063157894699999995, 0.0063157894699999995, 0.00421052632"
Accomack County,Metompkin Elementary,"Black, Hispanic, White, Non-Hispanic","0.39964157710000003, 0.36917562719999997, 0.2007168459, 0.030465949819999998"
Accomack County,Nandua High,"Black, White, Hispanic, Asian, Non-Hispanic","0.4003067485, 0.37116564420000003, 0.20705521470000002, 0.01380368098, 0.007668711660000001"
Accomack County,Nandua Middle,"Black, White, Hispanic, Asian, Non-Hispanic, Native Hawaiian  or Pacific Islander","0.44395604400000005, 0.3142857143, 0.2197802198, 0.01098901099, 0.006593406590000001, 0.0043956044"
Accomack County,Pungoteague Elementary,"Black, White, Hispanic, Non-Hispanic, American Indian or Alaska Native, Native Hawaiian  or Pacific Islander","0.4403669725, 0.369266055, 0.1720183486, 0.01376146789, 0.00229357798, 0.00229357798"
Accomack County,Tangier Combined,White,1.0
Albemarle County,Agnor-Hurt Elementary,"White, Hispanic, Black, Non-Hispanic, Asian","0.326754386, 0.2828947368, 0.2171052632, 0.1030701754, 0.0701754386"
