School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
A. Henderson Elementary,Prince William County,35.0,62.0,2.0
A.G. Richardson Elementary,Culpeper County,44.0,56.0,0.0
A.M. Davis Elementary,Chesterfield County,31.0,69.0,0.0
A.S. Rhodes Elementary,Warren County,52.0,44.0,0.0
A.W.E. Bassette Elementary,Hampton City,58.0,32.0,3.0
Abb's Valley-Boissevain Elementary,Tazewell County,60.0,33.0,0.0
Aberdeen Elementary,Hampton City,55.0,32.0,3.0
Abingdon Elementary,Arlington County,30.0,65.0,0.0
Abingdon Elementary,Gloucester County,40.0,57.0,0.0
Abingdon Elementary,Washington County,55.0,45.0,0.0
Abingdon High,Washington County,44.0,49.0,2.0
Academy for Discovery at Lakewood,Norfolk City,46.0,51.0,0.0
Accawmacke Elementary,Accomack County,42.0,53.0,0.0
Achievable Dream Academy,Newport News City,44.0,40.0,0.0
Achilles Elementary,Gloucester County,36.0,62.0,0.0
Acquinton Elementary,King William County,59.0,38.0,0.0
Addison Aerospace Magnet Middle,Roanoke City,44.0,40.0,3.0
Admiral Richard E. Byrd Middle,Frederick County,40.0,56.0,3.0
Agnor-Hurt Elementary,Albemarle County,40.0,52.0,4.0
Alanton Elementary,Virginia Beach City,44.0,54.0,2.0
Albemarle High,Albemarle County,32.0,65.0,1.0
Albert Harris Elementary,Martinsville City,56.0,34.0,2.0
Albert Hill Middle,Richmond City,38.0,53.0,2.0
Albert W. Patrick III Elementary,Hampton City,58.0,38.0,0.0
Alberta Smith Elementary,Chesterfield County,48.0,50.0,0.0
Aldie Elementary,Loudoun County,17.0,77.0,0.0
Aldrin Elementary,Fairfax County,27.0,70.0,2.0
Alexandria City High School,Alexandria City,23.0,70.0,1.0
Alfred S. Forrest Elementary,Hampton City,47.0,53.0,0.0
Algonkian Elementary,Loudoun County,25.0,72.0,2.0
Alice West Fleet Elementary,Arlington County,26.0,69.0,4.0
Alleghany High,Alleghany Highlands,51.0,47.0,0.0
Altavista Elementary,Campbell County,53.0,44.0,0.0
Altavista High,Campbell County,53.0,45.0,0.0
Amelia County Elementary,Amelia County,53.0,45.0,2.0
Amelia County High,Amelia County,56.0,38.0,4.0
Amelia County Middle,Amelia County,49.0,47.0,4.0
Amelia Street Special Education,Richmond City,60.0,20.0,20.0
Amelon Elementary,Amherst County,45.0,52.0,0.0
Amherst County High,Amherst County,45.0,47.0,2.0
Amherst Elementary,Amherst County,42.0,48.0,0.0
Amherst Middle,Amherst County,59.0,39.0,0.0
Andrew G. Wright Middle,Stafford County,33.0,56.0,0.0
Andrew Lewis Middle,Salem City,45.0,51.0,1.0
Annandale High,Fairfax County,25.0,72.0,1.0
Annandale Terrace Elementary,Fairfax County,26.0,74.0,0.0
Anne E. Moncure Elementary,Stafford County,38.0,54.0,0.0
Anthony Burns Elementary,Stafford County,47.0,45.0,0.0
Antietam Elementary,Prince William County,43.0,50.0,3.0
Apple Pie Ridge Elementary,Frederick County,53.0,47.0,0.0
Appomattox County High,Appomattox County,49.0,43.0,3.0
Appomattox Elementary,Appomattox County,55.0,39.0,2.0
Appomattox Middle,Appomattox County,53.0,43.0,3.0
Arcadia High,Accomack County,47.0,39.0,4.0
Archer Elementary,Fairfax County,22.0,74.0,0.0
Arcola Elementary,Loudoun County,21.0,77.0,1.0
Arlington Community High,Arlington County,7.0,87.0,7.0
Arlington Science Focus School,Arlington County,41.0,56.0,0.0
Arlington Traditional,Arlington County,27.0,69.0,0.0
Armel Elementary,Frederick County,43.0,55.0,0.0
Armstrong Elementary,Fairfax County,22.0,76.0,0.0
Armstrong Elementary,Hampton City,52.0,48.0,0.0
Arrowhead Elementary,Virginia Beach City,42.0,56.0,2.0
Arthur R. Ware Elementary,Staunton City,53.0,41.0,0.0
Ashburn Elementary,Loudoun County,19.0,80.0,0.0
Ashland Elementary,Prince William County,46.0,52.0,0.0
Ashlawn Elementary,Arlington County,18.0,80.0,0.0
Atkins Elementary,Smyth County,59.0,32.0,5.0
Atlee High,Hanover County,27.0,69.0,2.0
Auburn Elementary,Montgomery County,55.0,45.0,0.0
Auburn High,Montgomery County,24.0,70.0,2.0
Auburn Middle,Fauquier County,43.0,53.0,2.0
Auburn Middle,Montgomery County,63.0,33.0,3.0
Axton Elementary,Henry County,63.0,37.0,0.0
Azalea Gardens Middle,Norfolk City,31.0,52.0,5.0
Back Creek Elementary,Roanoke County,50.0,46.0,0.0
Bailey Bridge Middle,Chesterfield County,47.0,49.0,1.0
Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County,28.0,70.0,0.0
Baker-Butler Elem,Albemarle County,32.0,68.0,0.0
Baldwin Elementary,Manassas City,35.0,63.0,0.0
Baldwin Intermediate,Manassas City,38.0,63.0,0.0
Ball's Bluff Elementary,Loudoun County,19.0,78.0,2.0
Banneker Elementary,Loudoun County,22.0,78.0,0.0
Barack Obama Elementary,Richmond City,30.0,70.0,0.0
Barcroft Elementary,Arlington County,22.0,76.0,0.0
Barrett Elementary,Arlington County,30.0,64.0,2.0
Barron Elementary,Hampton City,38.0,62.0,0.0
Bass-Hoover Elementary,Frederick County,49.0,49.0,0.0
Bassett High,Henry County,46.0,49.0,0.0
Bath County High,Bath County,32.0,54.0,4.0
Battlefield Elementary,Spotsylvania County,48.0,44.0,0.0
Battlefield Middle,Spotsylvania County,42.0,56.0,0.0
Battlefield Park Elementary,Hanover County,29.0,71.0,0.0
Bay View Elementary,Norfolk City,39.0,56.0,2.0
Bayside 6th Grade Campus,Virginia Beach City,53.0,47.0,0.0
Bayside Elementary,Virginia Beach City,56.0,39.0,0.0
Bayside High,Virginia Beach City,49.0,46.0,4.0
Bayside Middle,Virginia Beach City,50.0,46.0,2.0
Beaverdam Elementary,Hanover County,14.0,83.0,3.0
Bedford Elementary,Bedford County,59.0,38.0,0.0
Bedford Hills Elementary,Lynchburg City,50.0,42.0,0.0
Beech Tree Elementary,Fairfax County,23.0,74.0,2.0
Bel Air Elementary,Prince William County,27.0,71.0,0.0
Belfast Elementary,Russell County,45.0,55.0,0.0
Belfield Elementary,Greensville County,76.0,18.0,0.0
Bell Creek Middle,Hanover County,40.0,57.0,1.0
Belle Heth Elementary,Radford City,48.0,51.0,0.0
Belle View Elementary,Fairfax County,28.0,70.0,2.0
Bellevue Elementary,Richmond City,33.0,62.0,0.0
Bellwood Elementary,Chesterfield County,41.0,59.0,0.0
Belmont Elementary,Prince William County,31.0,69.0,0.0
Belmont Ridge Middle,Loudoun County,32.0,64.0,2.0
Belvedere Elementary,Fairfax County,35.0,63.0,2.0
Belview Elementary,Montgomery County,52.0,45.0,3.0
Benjamin Franklin Middle,Franklin County,48.0,50.0,0.0
