model,mean_test_score,test_accuracy,test_precision,test_recall,test_f1,best_params
SVM_1,0.994883041,0.988338192,0.988380547,0.988338192,0.988324383,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 5}"
voting_clf,0.991253644,0.991253644,0.991380403,0.991253644,0.991237858,"{'estimators': [('svm_1', SVC(random_state=42)), ('svm_2', SVC(random_state=42)), ('knn_clf2', KNeighborsClassifier(leaf_size=37, metric='manhattan', n_neighbors=44)), ('xgboost_clf', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...))], 'flatten_transform': True, 'n_jobs': None, 'verbose': False, 'voting': 'hard', 'weights': None, 'svm_1': SVC(random_state=42), 'svm_2': SVC(random_state=42), 'knn_clf2': KNeighborsClassifier(leaf_size=37, metric='manhattan', n_neighbors=44), 'xgboost_clf': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...), 'svm_1__C': 1.0, 'svm_1__break_ties': False, 'svm_1__cache_size': 200, 'svm_1__class_weight': None, 'svm_1__coef0': 0.0, 'svm_1__decision_function_shape': 'ovr', 'svm_1__degree': 3, 'svm_1__gamma': 'scale', 'svm_1__kernel': 'rbf', 'svm_1__max_iter': -1, 'svm_1__probability': False, 'svm_1__random_state': 42, 'svm_1__shrinking': True, 'svm_1__tol': 0.001, 'svm_1__verbose': False, 'svm_2__C': 1.0, 'svm_2__break_ties': False, 'svm_2__cache_size': 200, 'svm_2__class_weight': None, 'svm_2__coef0': 0.0, 'svm_2__decision_function_shape': 'ovr', 'svm_2__degree': 3, 'svm_2__gamma': 'scale', 'svm_2__kernel': 'rbf', 'svm_2__max_iter': -1, 'svm_2__probability': False, 'svm_2__random_state': 42, 'svm_2__shrinking': True, 'svm_2__tol': 0.001, 'svm_2__verbose': False, 'knn_clf2__algorithm': 'auto', 'knn_clf2__leaf_size': 37, 'knn_clf2__metric': 'manhattan', 'knn_clf2__metric_params': None, 'knn_clf2__n_jobs': None, 'knn_clf2__n_neighbors': 44, 'knn_clf2__p': 2, 'knn_clf2__weights': 'uniform', 'xgboost_clf__objective': 'binary:logistic', 'xgboost_clf__base_score': None, 'xgboost_clf__booster': None, 'xgboost_clf__callbacks': None, 'xgboost_clf__colsample_bylevel': None, 'xgboost_clf__colsample_bynode': None, 'xgboost_clf__colsample_bytree': None, 'xgboost_clf__device': None, 'xgboost_clf__early_stopping_rounds': None, 'xgboost_clf__enable_categorical': False, 'xgboost_clf__eval_metric': 'logloss', 'xgboost_clf__feature_types': None, 'xgboost_clf__gamma': None, 'xgboost_clf__grow_policy': None, 'xgboost_clf__importance_type': None, 'xgboost_clf__interaction_constraints': None, 'xgboost_clf__learning_rate': None, 'xgboost_clf__max_bin': None, 'xgboost_clf__max_cat_threshold': None, 'xgboost_clf__max_cat_to_onehot': None, 'xgboost_clf__max_delta_step': None, 'xgboost_clf__max_depth': None, 'xgboost_clf__max_leaves': None, 'xgboost_clf__min_child_weight': None, 'xgboost_clf__missing': nan, 'xgboost_clf__monotone_constraints': None, 'xgboost_clf__multi_strategy': None, 'xgboost_clf__n_estimators': None, 'xgboost_clf__n_jobs': None, 'xgboost_clf__num_parallel_tree': None, 'xgboost_clf__random_state': 42, 'xgboost_clf__reg_alpha': None, 'xgboost_clf__reg_lambda': None, 'xgboost_clf__sampling_method': None, 'xgboost_clf__scale_pos_weight': None, 'xgboost_clf__subsample': None, 'xgboost_clf__tree_method': None, 'xgboost_clf__validate_parameters': None, 'xgboost_clf__verbosity': None, 'xgboost_clf__use_label_encoder': False}"
voting_clf,0.991253644,0.991253644,0.991380403,0.991253644,0.991237858,"{'estimators': [('svm_1', SVC(random_state=42)), ('svm_2', SVC(random_state=42)), ('knn_clf2', KNeighborsClassifier(leaf_size=37, metric='manhattan', n_neighbors=3)), ('xgboost_clf', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...))], 'flatten_transform': True, 'n_jobs': None, 'verbose': False, 'voting': 'hard', 'weights': None, 'svm_1': SVC(random_state=42), 'svm_2': SVC(random_state=42), 'knn_clf2': KNeighborsClassifier(leaf_size=37, metric='manhattan', n_neighbors=3), 'xgboost_clf': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...), 'svm_1__C': 1.0, 'svm_1__break_ties': False, 'svm_1__cache_size': 200, 'svm_1__class_weight': None, 'svm_1__coef0': 0.0, 'svm_1__decision_function_shape': 'ovr', 'svm_1__degree': 3, 'svm_1__gamma': 'scale', 'svm_1__kernel': 'rbf', 'svm_1__max_iter': -1, 'svm_1__probability': False, 'svm_1__random_state': 42, 'svm_1__shrinking': True, 'svm_1__tol': 0.001, 'svm_1__verbose': False, 'svm_2__C': 1.0, 'svm_2__break_ties': False, 'svm_2__cache_size': 200, 'svm_2__class_weight': None, 'svm_2__coef0': 0.0, 'svm_2__decision_function_shape': 'ovr', 'svm_2__degree': 3, 'svm_2__gamma': 'scale', 'svm_2__kernel': 'rbf', 'svm_2__max_iter': -1, 'svm_2__probability': False, 'svm_2__random_state': 42, 'svm_2__shrinking': True, 'svm_2__tol': 0.001, 'svm_2__verbose': False, 'knn_clf2__algorithm': 'auto', 'knn_clf2__leaf_size': 37, 'knn_clf2__metric': 'manhattan', 'knn_clf2__metric_params': None, 'knn_clf2__n_jobs': None, 'knn_clf2__n_neighbors': 3, 'knn_clf2__p': 2, 'knn_clf2__weights': 'uniform', 'xgboost_clf__objective': 'binary:logistic', 'xgboost_clf__base_score': None, 'xgboost_clf__booster': None, 'xgboost_clf__callbacks': None, 'xgboost_clf__colsample_bylevel': None, 'xgboost_clf__colsample_bynode': None, 'xgboost_clf__colsample_bytree': None, 'xgboost_clf__device': None, 'xgboost_clf__early_stopping_rounds': None, 'xgboost_clf__enable_categorical': False, 'xgboost_clf__eval_metric': 'logloss', 'xgboost_clf__feature_types': None, 'xgboost_clf__gamma': None, 'xgboost_clf__grow_policy': None, 'xgboost_clf__importance_type': None, 'xgboost_clf__interaction_constraints': None, 'xgboost_clf__learning_rate': None, 'xgboost_clf__max_bin': None, 'xgboost_clf__max_cat_threshold': None, 'xgboost_clf__max_cat_to_onehot': None, 'xgboost_clf__max_delta_step': None, 'xgboost_clf__max_depth': None, 'xgboost_clf__max_leaves': None, 'xgboost_clf__min_child_weight': None, 'xgboost_clf__missing': nan, 'xgboost_clf__monotone_constraints': None, 'xgboost_clf__multi_strategy': None, 'xgboost_clf__n_estimators': None, 'xgboost_clf__n_jobs': None, 'xgboost_clf__num_parallel_tree': None, 'xgboost_clf__random_state': 42, 'xgboost_clf__reg_alpha': None, 'xgboost_clf__reg_lambda': None, 'xgboost_clf__sampling_method': None, 'xgboost_clf__scale_pos_weight': None, 'xgboost_clf__subsample': None, 'xgboost_clf__tree_method': None, 'xgboost_clf__validate_parameters': None, 'xgboost_clf__verbosity': None, 'xgboost_clf__use_label_encoder': False}"
SVM_2,0.988338192,0.988338192,0.988380547,0.988338192,0.988324383,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVM_1,0.988338192,0.988338192,0.988380547,0.988338192,0.988324383,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVM_2,0.988338192,0.988338192,0.988380547,0.988338192,0.988324383,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
knn_clf2,0.987573099,0.988338192,0.988433388,0.988338192,0.988351118,"{'leaf_size': 37, 'metric': 'manhattan', 'n_neighbors': 44, 'weights': 'uniform'}"
knn_clf1,0.986842105,0.985422741,0.985625603,0.985422741,0.985446565,"{'metric': 'manhattan', 'n_neighbors': 46, 'weights': 'uniform'}"
knn_clf2,0.986111111,0.994169096,0.994169096,0.994169096,0.994169096,"{'leaf_size': 35, 'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'distance'}"
knn_clf2,0.985380117,0.988338192,0.988338192,0.988338192,0.988338192,"{'leaf_size': 25, 'metric': 'manhattan', 'n_neighbors': 35, 'weights': 'distance'}"
